opened COM10
bytes received: 24510


=== PERSISTENCE (LATENT) === sys_clk 300000000 Hz

[f=   59 title    ] line  1616/ 6436 cy (mean/worst) | slips 0 | prep  1854 us | lod 0 ev 0 | skip 0 | ring 1293 | 58.86 fps 23899 sps | AHASH s=24000 4e922f84

[f=  119 title    ] line  1609/ 4869 cy (mean/worst) | slips 0 | prep  1096 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.81 fps 23898 sps | AHASH s=48000 5ff801b1

[f=  179 title    ] line  1608/ 4723 cy (mean/worst) | slips 0 | prep  1089 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.46 fps 23897 sps | AHASH s=72000 65e21f38

[f=  239 title    ] line  1616/ 5276 cy (mean/worst) | slips 0 | prep  1073 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.78 fps 23897 sps | AHASH s=96000 9dbb9806

[f=  299 title    ] line  1809/ 5092 cy (mean/worst) | slips 0 | prep  1074 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.57 fps 23897 sps | AHASH s=120000 3b3938a9

[f=  359 title    ] line  1801/ 4682 cy (mean/worst) | slips 0 | prep  1071 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.60 fps 23897 sps | AHASH s=144000 bc779cea

[f=  419 title    ] line  1809/ 6036 cy (mean/worst) | slips 0 | prep  1076 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.77 fps 23897 sps | AHASH s=168000 cf02bbf4

[f=  479 title    ] line  1924/ 6536 cy (mean/worst) | slips 0 | prep  1076 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.64 fps 23897 sps | AHASH s=192000 f03fc02f

[f=  539 title    ] line  1914/ 5628 cy (mean/worst) | slips 0 | prep  1076 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.76 fps 23897 sps | AHASH s=216000 6d3853db

[f=  599 title    ] line  1915/ 5608 cy (mean/worst) | slips 0 | prep  1075 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.66 fps 23897 sps | AHASH s=240000 aeafba40

[f=  659 title    ] line  1923/ 5607 cy (mean/worst) | slips 0 | prep  1070 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.67 fps 23897 sps | AHASH s=264000 ed1a1d3e

[f=  719 title    ] line  1916/ 6630 cy (mean/worst) | slips 0 | prep  1077 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.68 fps 23897 sps | AHASH s=288000 6e514ef9

[f=  779 title    ] line  1914/ 5601 cy (mean/worst) | slips 0 | prep  1076 us | lod 0 ev 0 | skip 0 | ring 1293 | 59.68 fps 23897 sps | AHASH s=312000 6443b6c1

