
=== COLOSSUS / LATENT / 2026 === sys_clk=300000000
BOOT heap_region=62352 heap_free=62352 ballast=0 total_samples=7372800 bars=160
BOOT heap_free_after_init=62352
BOOT heap_free_after_video=49152 scanout_lines=240
T t=0.9 bar=0 ph=1 overture | render ms 65.63/65.68/65.77 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 466 | copy 2351 cy/line 34.28 Mcy/s | synth 2204 cy/pump 31.61 Mcy/s 1317 cy/sample | tri 1500 px 90000 part 256 ch 0 | AHASH s=24000 45de1a0f
T t=1.9 bar=1 ph=1 overture | render ms 65.66/65.71/65.81 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 466 | copy 2350 cy/line 33.70 Mcy/s | synth 2207 cy/pump 31.65 Mcy/s 1319 cy/sample | tri 1500 px 90000 part 256 ch 0 | AHASH s=48000 a2fc1ab4
T t=2.9 bar=1 ph=1 overture | render ms 65.66/65.69/65.81 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 466 | copy 2350 cy/line 33.70 Mcy/s | synth 2205 cy/pump 31.62 Mcy/s 1317 cy/sample | tri 1500 px 90000 part 256 ch 0 | AHASH s=72000 27282b38
T t=3.9 bar=2 ph=1 overture | render ms 65.66/65.70/65.81 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 466 | copy 2353 cy/line 33.74 Mcy/s | synth 2261 cy/pump 32.43 Mcy/s 1351 cy/sample | tri 1500 px 90000 part 256 ch 0 | AHASH s=96000 7defff26
T t=4.9 bar=2 ph=1 overture | render ms 65.66/65.70/65.85 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 466 | copy 2366 cy/line 33.93 Mcy/s | synth 2498 cy/pump 35.83 Mcy/s 1492 cy/sample | tri 1500 px 90000 part 256 ch 0 | AHASH s=120000 586f7958
T t=5.9 bar=3 ph=1 overture | render ms 65.67/65.72/65.83 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 466 | copy 2366 cy/line 33.93 Mcy/s | synth 2501 cy/pump 35.87 Mcy/s 1494 cy/sample | tri 1500 px 90000 part 256 ch 0 | AHASH s=144000 3f1c7235
T t=6.9 bar=3 ph=1 overture | render ms 65.66/65.70/65.91 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 466 | copy 2366 cy/line 33.93 Mcy/s | synth 2501 cy/pump 35.87 Mcy/s 1494 cy/sample | tri 1500 px 90000 part 256 ch 0 | AHASH s=168000 9f2cdd11
T t=7.9 bar=4 ph=1 overture | render ms 65.66/65.72/65.84 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 466 | copy 2361 cy/line 33.85 Mcy/s | synth 2665 cy/pump 38.22 Mcy/s 1592 cy/sample | tri 1500 px 90000 part 256 ch 0 | AHASH s=192000 cbe11e82
T t=8.9 bar=4 ph=1 overture | render ms 65.68/65.72/65.85 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 466 | copy 2351 cy/line 33.72 Mcy/s | synth 2940 cy/pump 42.17 Mcy/s 1757 cy/sample | tri 1500 px 90000 part 256 ch 0 | AHASH s=216000 e3ba8e4b
T t=9.9 bar=5 ph=1 overture | render ms 65.66/65.70/65.87 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 466 | copy 2351 cy/line 33.72 Mcy/s | synth 2942 cy/pump 42.19 Mcy/s 1758 cy/sample | tri 1500 px 90000 part 256 ch 0 | AHASH s=240000 67cd6e7a
T t=10.9 bar=5 ph=1 overture | render ms 65.67/65.71/65.83 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 466 | copy 2351 cy/line 33.72 Mcy/s | synth 2944 cy/pump 42.22 Mcy/s 1759 cy/sample | tri 1500 px 90000 part 256 ch 0 | AHASH s=264000 893f3166
