
=== COLOSSUS / LATENT / 2026 === sys_clk=300000000
BOOT heap_region=61616 heap_free=61616 ballast=0 total_samples=7372800 bars=160
BOOT heap_free_after_init=61616
BOOT heap_free_after_video=49152 scanout_lines=240
T t=0.9 bar=0 ph=1 overture | render ms 46.41/46.44/46.48 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.23 | under 0 fill 465 | copy 2353 cy/line 34.31 Mcy/s | synth 2220 cy/pump 31.84 Mcy/s 1326 cy/sample | tri 0 px 0 part 66 ch 0 | AHASH s=24000 45de1a0f
T t=1.9 bar=1 ph=1 overture | render ms 40.50/46.15/46.59 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2354 cy/line 33.75 Mcy/s | synth 2222 cy/pump 31.86 Mcy/s 1327 cy/sample | tri 0 px 0 part 66 ch 0 | AHASH s=48000 a2fc1ab4
T t=2.9 bar=1 ph=1 overture | render ms 40.49/40.53/40.67 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2358 cy/line 33.81 Mcy/s | synth 2221 cy/pump 31.86 Mcy/s 1327 cy/sample | tri 0 px 0 part 66 ch 0 | AHASH s=72000 27282b38
T t=3.9 bar=2 ph=1 overture | render ms 40.50/40.53/40.67 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2360 cy/line 33.85 Mcy/s | synth 2279 cy/pump 32.68 Mcy/s 1361 cy/sample | tri 0 px 0 part 67 ch 0 | AHASH s=96000 7defff26
T t=4.9 bar=2 ph=1 overture | render ms 40.49/40.54/40.68 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2373 cy/line 34.03 Mcy/s | synth 2516 cy/pump 36.08 Mcy/s 1503 cy/sample | tri 0 px 0 part 67 ch 0 | AHASH s=120000 586f7958
T t=5.9 bar=3 ph=1 overture | render ms 40.50/40.54/40.69 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2372 cy/line 34.02 Mcy/s | synth 2519 cy/pump 36.13 Mcy/s 1505 cy/sample | tri 0 px 0 part 68 ch 0 | AHASH s=144000 3f1c7235
T t=6.9 bar=3 ph=1 overture | render ms 40.48/40.53/40.65 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2372 cy/line 34.02 Mcy/s | synth 2518 cy/pump 36.12 Mcy/s 1505 cy/sample | tri 0 px 0 part 68 ch 0 | AHASH s=168000 9f2cdd11
T t=7.9 bar=4 ph=1 overture | render ms 40.49/40.53/40.66 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2367 cy/line 33.94 Mcy/s | synth 2682 cy/pump 38.46 Mcy/s 1602 cy/sample | tri 0 px 0 part 69 ch 0 | AHASH s=192000 cbe11e82
T t=8.9 bar=4 ph=1 overture | render ms 40.52/40.54/40.67 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2358 cy/line 33.82 Mcy/s | synth 2960 cy/pump 42.44 Mcy/s 1768 cy/sample | tri 0 px 0 part 69 ch 0 | AHASH s=216000 e3ba8e4b
T t=9.9 bar=5 ph=1 overture | render ms 40.51/40.68/40.90 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2358 cy/line 33.81 Mcy/s | synth 2960 cy/pump 42.45 Mcy/s 1769 cy/sample | tri 4 px 173 part 70 ch 0 | AHASH s=240000 67cd6e7a
T t=10.9 bar=5 ph=1 overture | render ms 40.85/40.89/41.00 | fps 19.9 | hold 3 miss 20 late 20 | gap ms 50.20 | under 0 fill 465 | copy 2357 cy/line 33.81 Mcy/s | synth 2963 cy/pump 42.49 Mcy/s 1770 cy/sample | tri 4 px 173 part 70 ch 0 | AHASH s=264000 893f3166
