
=== COLOSSUS / LATENT / 2026 === sys_clk=300000000
BOOT heap_region=150880 heap_free=150880 ballast=0 total_samples=7372800 bars=160
BOOT heap_free_after_init=150880
BOOT heap_free_after_video=139264 scanout_lines=480
T t=0.9 bar=0 ph=1 overture | render ms 6.28/6.30/6.31 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2653 cy/line 76.09 Mcy/s | synth 1129 cy/pump 32.39 Mcy/s 1349 cy/sample | tri 0 px 76800 part 0 ch 0 | AHASH s=24000 45de1a0f
T t=1.9 bar=1 ph=1 overture | render ms 6.28/6.30/6.33 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2653 cy/line 74.84 Mcy/s | synth 1149 cy/pump 32.41 Mcy/s 1350 cy/sample | tri 0 px 76800 part 0 ch 0 | AHASH s=48000 a2fc1ab4
T t=2.9 bar=1 ph=1 overture | render ms 6.28/6.30/6.34 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2653 cy/line 74.84 Mcy/s | synth 1149 cy/pump 32.42 Mcy/s 1351 cy/sample | tri 0 px 76800 part 0 ch 0 | AHASH s=72000 27282b38
T t=4.0 bar=2 ph=1 overture | render ms 6.28/6.30/6.33 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2654 cy/line 74.87 Mcy/s | synth 1176 cy/pump 33.17 Mcy/s 1382 cy/sample | tri 0 px 76800 part 0 ch 0 | AHASH s=96000 7defff26
T t=5.0 bar=2 ph=1 overture | render ms 6.28/6.31/6.34 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2659 cy/line 74.99 Mcy/s | synth 1297 cy/pump 36.60 Mcy/s 1525 cy/sample | tri 0 px 76800 part 0 ch 0 | AHASH s=120000 586f7958
T t=6.0 bar=3 ph=1 overture | render ms 6.28/6.31/6.33 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2659 cy/line 74.99 Mcy/s | synth 1299 cy/pump 36.65 Mcy/s 1527 cy/sample | tri 0 px 76800 part 0 ch 0 | AHASH s=144000 3f1c7235
T t=7.0 bar=3 ph=1 overture | render ms 6.28/6.31/6.33 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2659 cy/line 75.00 Mcy/s | synth 1298 cy/pump 36.62 Mcy/s 1526 cy/sample | tri 0 px 76800 part 0 ch 0 | AHASH s=168000 9f2cdd11
T t=8.0 bar=4 ph=1 overture | render ms 6.28/6.31/6.33 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2651 cy/line 74.77 Mcy/s | synth 1383 cy/pump 39.00 Mcy/s 1625 cy/sample | tri 0 px 76800 part 0 ch 0 | AHASH s=192000 cbe11e82
T t=9.0 bar=4 ph=1 overture | render ms 6.29/6.31/6.34 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2638 cy/line 74.35 Mcy/s | synth 1531 cy/pump 43.17 Mcy/s 1798 cy/sample | tri 0 px 76800 part 0 ch 0 | AHASH s=216000 e3ba8e4b
T t=10.0 bar=5 ph=1 overture | render ms 6.29/6.31/6.34 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2638 cy/line 74.34 Mcy/s | synth 1533 cy/pump 43.21 Mcy/s 1800 cy/sample | tri 0 px 76800 part 0 ch 0 | AHASH s=240000 67cd6e7a
T t=11.0 bar=5 ph=1 overture | render ms 6.29/6.31/6.34 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 462 | copy 2638 cy/line 74.35 Mcy/s | synth 1532 cy/pump 43.19 Mcy/s 1799 cy/sample | tri 0 px 76800 part 0 ch 0 | AHASH s=264000 893f3166
