
=== COLOSSUS / LATENT / 2026 === sys_clk=300000000
BOOT heap_region=150880 heap_free=150880 ballast=0 total_samples=7372800 bars=160
BOOT heap_free_after_init=150880
BOOT heap_free_after_video=139264 scanout_lines=240
T t=0.9 bar=0 ph=1 overture | render ms 6.19/6.21/6.22 | fps 59.7 | hold 2 miss 0 late 1 | gap ms 16.76 | under 0 fill 465 | copy 2438 cy/line 34.98 Mcy/s | synth 2170 cy/pump 31.13 Mcy/s 1297 cy/sample | tri 0 px 76800 part 0 ch 0 | AHASH s=24000 45de1a0f
T t=1.9 bar=1 ph=1 overture | render ms 6.19/6.21/6.23 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 465 | copy 2438 cy/line 34.38 Mcy/s | synth 2209 cy/pump 31.15 Mcy/s 1297 cy/sample | tri 0 px 76800 part 0 ch 0 | AHASH s=48000 a2fc1ab4
T t=2.9 bar=1 ph=1 overture | render ms 6.19/6.21/6.23 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 465 | copy 2438 cy/line 34.38 Mcy/s | synth 2208 cy/pump 31.14 Mcy/s 1297 cy/sample | tri 0 px 76800 part 0 ch 0 | AHASH s=72000 27282b38
T t=4.0 bar=2 ph=1 overture | render ms 6.19/6.21/6.23 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 465 | copy 2441 cy/line 34.42 Mcy/s | synth 2264 cy/pump 31.93 Mcy/s 1330 cy/sample | tri 0 px 76800 part 0 ch 0 | AHASH s=96000 7defff26
T t=5.0 bar=2 ph=1 overture | render ms 6.19/6.21/6.23 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 465 | copy 2455 cy/line 34.62 Mcy/s | synth 2513 cy/pump 35.44 Mcy/s 1477 cy/sample | tri 0 px 76800 part 0 ch 0 | AHASH s=120000 586f7958
T t=6.0 bar=3 ph=1 overture | render ms 6.19/6.20/6.23 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.75 | under 0 fill 464 | copy 2455 cy/line 34.63 Mcy/s | synth 2515 cy/pump 35.47 Mcy/s 1478 cy/sample | tri 0 px 76800 part 0 ch 0 | AHASH s=144000 3f1c7235
T t=7.0 bar=3 ph=1 overture | render ms 6.19/6.21/6.23 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2455 cy/line 34.62 Mcy/s | synth 2517 cy/pump 35.50 Mcy/s 1479 cy/sample | tri 0 px 76800 part 0 ch 0 | AHASH s=168000 9f2cdd11
T t=8.0 bar=4 ph=1 overture | render ms 6.19/6.21/6.23 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2449 cy/line 34.54 Mcy/s | synth 2675 cy/pump 37.73 Mcy/s 1572 cy/sample | tri 0 px 76800 part 0 ch 0 | AHASH s=192000 cbe11e82
T t=9.0 bar=4 ph=1 overture | render ms 6.21/6.22/6.24 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2438 cy/line 34.39 Mcy/s | synth 2958 cy/pump 41.72 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 0 | AHASH s=216000 e3ba8e4b
T t=10.0 bar=5 ph=1 overture | render ms 6.21/6.22/6.24 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2438 cy/line 34.39 Mcy/s | synth 2957 cy/pump 41.70 Mcy/s 1737 cy/sample | tri 0 px 76800 part 0 ch 0 | AHASH s=240000 67cd6e7a
T t=11.0 bar=5 ph=1 overture | render ms 6.21/6.22/6.24 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2438 cy/line 34.38 Mcy/s | synth 2960 cy/pump 41.74 Mcy/s 1739 cy/sample | tri 0 px 76800 part 0 ch 0 | AHASH s=264000 893f3166
