T t=0.9 bar=0 sec=0 smooth=0 interp=0 | render ms 14.73/14.91/15.54 | fps 58.8 | tri 0 | fill 623 win 623 under 0 | synth 3232 cy/pump 45.71 Mcy/s 1936 cy/sample | pump worst 321.03 us peak 321.03 us | AHASH s=24000 72959068
T t=1.9 bar=1 sec=0 smooth=0 interp=0 | render ms 14.83/15.07/15.23 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3208 cy/pump 46.00 Mcy/s 1917 cy/sample | pump worst 339.87 us peak 339.87 us | AHASH s=48000 1e24624e
T t=2.9 bar=1 sec=0 smooth=0 interp=0 | render ms 10.72/12.10/15.27 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3201 cy/pump 45.90 Mcy/s 1912 cy/sample | pump worst 318.83 us peak 339.87 us | AHASH s=72000 77496e7f
T t=3.9 bar=2 sec=0 smooth=0 interp=0 | render ms 10.68/10.75/10.90 | fps 59.7 | tri 0 | fill 623 win 986 under 0 | synth 3197 cy/pump 45.85 Mcy/s 1911 cy/sample | pump worst 406.44 us peak 406.44 us | AHASH s=96000 efa62875
T t=5.0 bar=2 sec=0 smooth=0 interp=0 | render ms 10.59/10.67/10.83 | fps 59.7 | tri 0 | fill 623 win 987 under 0 | synth 3206 cy/pump 45.98 Mcy/s 1915 cy/sample | pump worst 350.30 us peak 406.44 us | AHASH s=120000 cceb0778
T t=6.0 bar=3 sec=0 smooth=0 interp=0 | render ms 10.54/10.60/10.71 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3196 cy/pump 45.84 Mcy/s 1910 cy/sample | pump worst 319.32 us peak 406.44 us | AHASH s=144000 303e43c6
T t=7.0 bar=3 sec=0 smooth=0 interp=0 | render ms 10.49/10.55/10.73 | fps 59.7 | tri 0 | fill 623 win 987 under 0 | synth 3192 cy/pump 45.78 Mcy/s 1908 cy/sample | pump worst 318.89 us peak 406.44 us | AHASH s=168000 68f97bd8
T t=8.0 bar=4 sec=0 smooth=0 interp=0 | render ms 10.48/10.55/10.73 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3160 cy/pump 45.32 Mcy/s 1888 cy/sample | pump worst 326.02 us peak 406.44 us | AHASH s=192000 41259600
T t=9.0 bar=4 sec=0 smooth=0 interp=0 | render ms 10.47/10.58/10.78 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3153 cy/pump 45.22 Mcy/s 1884 cy/sample | pump worst 324.28 us peak 406.44 us | AHASH s=216000 169cf18c
T t=10.0 bar=5 sec=0 smooth=0 interp=0 | render ms 10.58/10.65/10.75 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3163 cy/pump 45.36 Mcy/s 1890 cy/sample | pump worst 344.83 us peak 406.44 us | AHASH s=240000 58c34ac5
T t=11.0 bar=5 sec=0 smooth=0 interp=0 | render ms 10.63/10.70/10.86 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3162 cy/pump 45.35 Mcy/s 1890 cy/sample | pump worst 326.74 us peak 406.44 us | AHASH s=264000 a93a9cbc
T t=12.0 bar=6 sec=0 smooth=0 interp=0 | render ms 10.66/10.73/10.84 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3176 cy/pump 45.55 Mcy/s 1898 cy/sample | pump worst 308.18 us peak 406.44 us | AHASH s=288000 21cec8ea
T t=13.0 bar=6 sec=0 smooth=0 interp=0 | render ms 10.66/10.72/10.85 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3191 cy/pump 45.76 Mcy/s 1906 cy/sample | pump worst 357.18 us peak 406.44 us | AHASH s=312000 d793541c
T t=14.0 bar=7 sec=0 smooth=0 interp=0 | render ms 10.60/10.67/10.77 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3174 cy/pump 45.51 Mcy/s 1896 cy/sample | pump worst 305.17 us peak 406.44 us | AHASH s=336000 94e394f1
T t=15.0 bar=7 sec=0 smooth=0 interp=0 | render ms 10.53/10.63/10.77 | fps 59.7 | tri 0 | fill 623 win 986 under 0 | synth 3150 cy/pump 45.17 Mcy/s 1882 cy/sample | pump worst 358.40 us peak 406.44 us | AHASH s=360000 0f762b55
T t=16.0 bar=8 sec=1 smooth=0 interp=0 | render ms 10.28/13.41/14.93 | fps 59.7 | tri 2304 | fill 623 win 988 under 0 | synth 3222 cy/pump 46.21 Mcy/s 1925 cy/sample | pump worst 394.69 us peak 406.44 us | AHASH s=384000 2181769e
T t=17.0 bar=8 sec=1 smooth=0 interp=0 | render ms 14.84/14.94/15.06 | fps 59.7 | tri 2304 | fill 623 win 988 under 0 | synth 3265 cy/pump 46.82 Mcy/s 1951 cy/sample | pump worst 301.78 us peak 406.44 us | AHASH s=408000 e10dd4f6
