T t=1.9 bar=1 sec=0 smooth=0 interp=0 | render ms 14.76/15.02/15.69 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 3337 cy/pump 47.86 Mcy/s 1994 cy/sample | pump worst 255.63 us peak 255.63 us | AHASH s=48000 1e24624e
T t=2.9 bar=1 sec=0 smooth=0 interp=0 | render ms 10.64/12.02/15.21 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 3328 cy/pump 47.72 Mcy/s 1988 cy/sample | pump worst 214.23 us peak 255.63 us | AHASH s=72000 77496e7f
T t=3.9 bar=2 sec=0 smooth=0 interp=0 | render ms 10.59/10.67/10.81 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 3330 cy/pump 47.75 Mcy/s 1990 cy/sample | pump worst 295.13 us peak 295.13 us | AHASH s=96000 efa62875
T t=5.0 bar=2 sec=0 smooth=0 interp=0 | render ms 10.52/10.59/10.80 | fps 59.7 | tri 0 | fill 624 win 987 under 0 | synth 3337 cy/pump 47.86 Mcy/s 1994 cy/sample | pump worst 239.32 us peak 295.13 us | AHASH s=120000 cceb0778
T t=6.0 bar=3 sec=0 smooth=0 interp=0 | render ms 10.44/10.52/10.68 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 3295 cy/pump 47.25 Mcy/s 1968 cy/sample | pump worst 235.03 us peak 295.13 us | AHASH s=144000 303e43c6
T t=7.0 bar=3 sec=0 smooth=0 interp=0 | render ms 10.42/10.48/10.55 | fps 59.7 | tri 0 | fill 624 win 987 under 0 | synth 3299 cy/pump 47.31 Mcy/s 1971 cy/sample | pump worst 221.99 us peak 295.13 us | AHASH s=168000 68f97bd8
T t=8.0 bar=4 sec=0 smooth=0 interp=0 | render ms 10.40/10.47/10.55 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 3268 cy/pump 46.86 Mcy/s 1952 cy/sample | pump worst 201.85 us peak 295.13 us | AHASH s=192000 41259600
T t=9.0 bar=4 sec=0 smooth=0 interp=0 | render ms 10.40/10.49/10.59 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 3254 cy/pump 46.66 Mcy/s 1944 cy/sample | pump worst 208.94 us peak 295.13 us | AHASH s=216000 169cf18c
T t=10.0 bar=5 sec=0 smooth=0 interp=0 | render ms 10.49/10.56/10.65 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 3267 cy/pump 46.85 Mcy/s 1952 cy/sample | pump worst 243.30 us peak 295.13 us | AHASH s=240000 58c34ac5
T t=11.0 bar=5 sec=0 smooth=0 interp=0 | render ms 10.54/10.62/10.71 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 3264 cy/pump 46.80 Mcy/s 1950 cy/sample | pump worst 220.90 us peak 295.13 us | AHASH s=264000 a93a9cbc
T t=12.0 bar=6 sec=0 smooth=0 interp=0 | render ms 10.57/10.64/10.75 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 3283 cy/pump 47.09 Mcy/s 1962 cy/sample | pump worst 207.95 us peak 295.13 us | AHASH s=288000 21cec8ea
T t=13.0 bar=6 sec=0 smooth=0 interp=0 | render ms 10.56/10.63/10.77 | fps 59.7 | tri 0 | fill 624 win 987 under 0 | synth 3294 cy/pump 47.24 Mcy/s 1967 cy/sample | pump worst 264.02 us peak 295.13 us | AHASH s=312000 d793541c
T t=14.0 bar=7 sec=0 smooth=0 interp=0 | render ms 10.51/10.59/10.74 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 3287 cy/pump 47.14 Mcy/s 1964 cy/sample | pump worst 207.82 us peak 295.13 us | AHASH s=336000 94e394f1
T t=15.0 bar=7 sec=0 smooth=0 interp=0 | render ms 10.46/10.54/10.70 | fps 59.7 | tri 0 | fill 624 win 987 under 0 | synth 3282 cy/pump 47.07 Mcy/s 1961 cy/sample | pump worst 240.79 us peak 295.13 us | AHASH s=360000 0f762b55
T t=16.0 bar=8 sec=1 smooth=0 interp=0 | render ms 10.20/13.31/14.78 | fps 59.7 | tri 2304 | fill 624 win 988 under 0 | synth 3364 cy/pump 48.24 Mcy/s 2010 cy/sample | pump worst 296.20 us peak 296.20 us | AHASH s=384000 2181769e
T t=17.0 bar=8 sec=1 smooth=0 interp=0 | render ms 14.72/14.82/14.93 | fps 59.7 | tri 2304 | fill 624 win 988 under 0 | synth 3402 cy/pump 48.78 Mcy/s 2032 cy/sample | pump worst 261.72 us peak 296.20 us | AHASH s=408000 e10dd4f6
T t=18.0 bar=9 sec=1 smooth=0 interp=0 | render ms 14.84/15.38/16.06 | fps 59.7 | tri 2304 | fill 624 win 988 under 0 | synth 3410 cy/pump 48.90 Mcy/s 2037 cy/sample | pump worst 296.25 us peak 296.25 us | AHASH s=432000 5e2acf5d
T t=19.0 bar=9 sec=1 smooth=0 interp=0 | render ms 16.11/16.80/17.52 | fps 39.8 | tri 2304 | fill 624 win 988 under 0 | synth 3102 cy/pump 44.48 Mcy/s 1885 cy/sample | pump worst 254.07 us peak 296.25 us | AHASH s=456000 349b5d84
T t=20.0 bar=10 sec=1 smooth=0 interp=0 | render ms 17.09/17.20/17.49 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2914 cy/pump 41.79 Mcy/s 1741 cy/sample | pump worst 229.97 us peak 296.25 us | AHASH s=480000 d6e34570
T t=21.0 bar=10 sec=1 smooth=0 interp=0 | render ms 17.21/17.44/17.67 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2938 cy/pump 42.13 Mcy/s 1755 cy/sample | pump worst 223.83 us peak 296.25 us | AHASH s=504000 a4bb6e83
T t=22.0 bar=11 sec=1 smooth=0 interp=0 | render ms 17.59/17.72/17.87 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2938 cy/pump 42.14 Mcy/s 1755 cy/sample | pump worst 205.90 us peak 296.25 us | AHASH s=528000 a8881ce2
T t=23.0 bar=12 sec=1 smooth=0 interp=0 | render ms 17.08/17.51/17.89 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2940 cy/pump 42.16 Mcy/s 1756 cy/sample | pump worst 286.64 us peak 296.25 us | AHASH s=552000 c826a965
T t=24.0 bar=12 sec=1 smooth=0 interp=0 | render ms 17.03/17.18/17.35 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2942 cy/pump 42.19 Mcy/s 1757 cy/sample | pump worst 207.45 us peak 296.25 us | AHASH s=576000 fb6e8ee8
T t=25.0 bar=13 sec=1 smooth=0 interp=0 | render ms 17.33/17.58/17.74 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2953 cy/pump 42.35 Mcy/s 1765 cy/sample | pump worst 267.84 us peak 296.25 us | AHASH s=600000 a4c6a640
T t=26.0 bar=13 sec=1 smooth=0 interp=0 | render ms 17.57/17.82/17.96 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2970 cy/pump 42.59 Mcy/s 1775 cy/sample | pump worst 225.00 us peak 296.25 us | AHASH s=624000 285437af
T t=27.0 bar=14 sec=1 smooth=0 interp=0 | render ms 17.02/17.21/17.70 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2947 cy/pump 42.26 Mcy/s 1760 cy/sample | pump worst 223.18 us peak 296.25 us | AHASH s=648000 dd48b670
T t=28.0 bar=14 sec=1 smooth=0 interp=0 | render ms 17.05/17.13/17.26 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2955 cy/pump 42.37 Mcy/s 1765 cy/sample | pump worst 209.21 us peak 296.25 us | AHASH s=672000 8c370b4b
T t=29.0 bar=15 sec=1 smooth=0 interp=0 | render ms 17.19/17.46/17.84 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2973 cy/pump 42.64 Mcy/s 1777 cy/sample | pump worst 302.17 us peak 302.17 us | AHASH s=696000 db27a9f3
T t=30.0 bar=15 sec=1 smooth=0 interp=0 | render ms 16.97/17.37/17.90 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2951 cy/pump 42.32 Mcy/s 1764 cy/sample | pump worst 210.07 us peak 302.17 us | AHASH s=720000 94005533
T t=31.0 bar=16 sec=1 smooth=0 interp=0 | render ms 16.88/17.02/17.14 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2937 cy/pump 42.11 Mcy/s 1755 cy/sample | pump worst 204.58 us peak 302.17 us | AHASH s=744000 e026ba43
T t=32.0 bar=16 sec=1 smooth=0 interp=0 | render ms 17.11/17.36/17.63 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2949 cy/pump 42.29 Mcy/s 1762 cy/sample | pump worst 273.00 us peak 302.17 us | AHASH s=768000 91c5e747
T t=33.1 bar=17 sec=1 smooth=0 interp=0 | render ms 17.60/17.96/18.16 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2951 cy/pump 42.32 Mcy/s 1763 cy/sample | pump worst 206.78 us peak 302.17 us | AHASH s=792000 3a45d577
T t=34.1 bar=17 sec=1 smooth=0 interp=0 | render ms 17.25/17.64/18.17 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2944 cy/pump 42.22 Mcy/s 1759 cy/sample | pump worst 219.29 us peak 302.17 us | AHASH s=816000 f25f2599
T t=35.1 bar=18 sec=1 smooth=0 interp=0 | render ms 17.27/17.37/17.55 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2930 cy/pump 42.02 Mcy/s 1751 cy/sample | pump worst 222.90 us peak 302.17 us | AHASH s=840000 ce2d6037
T t=36.1 bar=18 sec=1 smooth=0 interp=0 | render ms 17.58/17.77/17.94 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2955 cy/pump 42.38 Mcy/s 1766 cy/sample | pump worst 201.50 us peak 302.17 us | AHASH s=864000 4eccd0e0
T t=37.1 bar=19 sec=1 smooth=0 interp=0 | render ms 17.82/18.01/18.14 | fps 29.8 | tri 2304 | fill 624 win 986 under 0 | synth 2960 cy/pump 42.45 Mcy/s 1769 cy/sample | pump worst 224.06 us peak 302.17 us | AHASH s=888000 dfd678f9
T t=38.1 bar=19 sec=1 smooth=0 interp=0 | render ms 17.30/17.48/17.94 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2954 cy/pump 42.36 Mcy/s 1765 cy/sample | pump worst 262.33 us peak 302.17 us | AHASH s=912000 25c722ab
