T t=0.9 bar=0 sec=0 smooth=0 interp=0 | render ms 14.72/14.88/15.54 | fps 58.8 | tri 0 | fill 623 win 623 under 0 | synth 3224 cy/pump 45.59 Mcy/s 1932 cy/sample | pump worst 317.43 us peak 317.43 us | AHASH s=24000 72959068
T t=1.9 bar=1 sec=0 smooth=0 interp=0 | render ms 14.82/15.05/15.24 | fps 59.7 | tri 0 | fill 623 win 987 under 0 | synth 3222 cy/pump 46.21 Mcy/s 1926 cy/sample | pump worst 360.06 us peak 360.06 us | AHASH s=48000 1e24624e
T t=2.9 bar=1 sec=0 smooth=0 interp=0 | render ms 10.69/12.07/15.27 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3211 cy/pump 46.05 Mcy/s 1919 cy/sample | pump worst 316.62 us peak 360.06 us | AHASH s=72000 77496e7f
T t=3.9 bar=2 sec=0 smooth=0 interp=0 | render ms 10.62/10.71/10.81 | fps 59.7 | tri 0 | fill 623 win 986 under 0 | synth 3218 cy/pump 46.16 Mcy/s 1923 cy/sample | pump worst 418.52 us peak 418.52 us | AHASH s=96000 14a8c702
T t=5.0 bar=2 sec=0 smooth=0 interp=0 | render ms 10.54/10.63/10.78 | fps 59.7 | tri 0 | fill 623 win 986 under 0 | synth 3226 cy/pump 46.26 Mcy/s 1927 cy/sample | pump worst 350.64 us peak 418.52 us | AHASH s=120000 e3472e0f
T t=6.0 bar=3 sec=0 smooth=0 interp=0 | render ms 10.50/10.57/10.75 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3194 cy/pump 45.81 Mcy/s 1908 cy/sample | pump worst 316.71 us peak 418.52 us | AHASH s=144000 c16ae2bd
T t=7.0 bar=3 sec=0 smooth=0 interp=0 | render ms 10.46/10.51/10.67 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3190 cy/pump 45.75 Mcy/s 1906 cy/sample | pump worst 326.75 us peak 418.52 us | AHASH s=168000 47058292
T t=8.0 bar=4 sec=0 smooth=0 interp=0 | render ms 10.43/10.51/10.70 | fps 59.7 | tri 0 | fill 623 win 987 under 0 | synth 3178 cy/pump 45.58 Mcy/s 1899 cy/sample | pump worst 327.93 us peak 418.52 us | AHASH s=192000 8ee6bf70
T t=9.0 bar=4 sec=0 smooth=0 interp=0 | render ms 10.44/10.53/10.60 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3160 cy/pump 45.32 Mcy/s 1888 cy/sample | pump worst 318.85 us peak 418.52 us | AHASH s=216000 bc2302ee
T t=10.0 bar=5 sec=0 smooth=0 interp=0 | render ms 10.53/10.60/10.68 | fps 59.7 | tri 0 | fill 623 win 986 under 0 | synth 3191 cy/pump 45.76 Mcy/s 1907 cy/sample | pump worst 343.75 us peak 418.52 us | AHASH s=240000 79634d4c
T t=11.0 bar=5 sec=0 smooth=0 interp=0 | render ms 10.58/10.65/10.73 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3174 cy/pump 45.51 Mcy/s 1896 cy/sample | pump worst 316.27 us peak 418.52 us | AHASH s=264000 afcd6e4a
T t=12.0 bar=6 sec=0 smooth=0 interp=0 | render ms 10.62/10.68/10.81 | fps 59.7 | tri 0 | fill 623 win 987 under 0 | synth 3191 cy/pump 45.76 Mcy/s 1907 cy/sample | pump worst 322.99 us peak 418.52 us | AHASH s=288000 a40706bb
T t=13.0 bar=6 sec=0 smooth=0 interp=0 | render ms 10.60/10.67/10.74 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3187 cy/pump 45.71 Mcy/s 1905 cy/sample | pump worst 357.55 us peak 418.52 us | AHASH s=312000 8ba7012f
T t=14.0 bar=7 sec=0 smooth=0 interp=0 | render ms 10.54/10.62/10.75 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3192 cy/pump 45.77 Mcy/s 1907 cy/sample | pump worst 326.94 us peak 418.52 us | AHASH s=336000 ca119704
T t=15.0 bar=7 sec=0 smooth=0 interp=0 | render ms 10.50/10.58/10.74 | fps 59.7 | tri 0 | fill 623 win 986 under 0 | synth 3193 cy/pump 45.79 Mcy/s 1907 cy/sample | pump worst 386.63 us peak 418.52 us | AHASH s=360000 e3c094ac
T t=16.0 bar=8 sec=1 smooth=0 interp=0 | render ms 10.24/13.35/14.84 | fps 59.7 | tri 2304 | fill 623 win 988 under 0 | synth 3237 cy/pump 46.42 Mcy/s 1934 cy/sample | pump worst 414.36 us peak 418.52 us | AHASH s=384000 7dec999b
T t=17.0 bar=8 sec=1 smooth=0 interp=0 | render ms 14.76/14.87/14.99 | fps 59.7 | tri 2304 | fill 623 win 988 under 0 | synth 3283 cy/pump 47.09 Mcy/s 1961 cy/sample | pump worst 351.68 us peak 418.52 us | AHASH s=408000 9be97f95
T t=18.0 bar=9 sec=1 smooth=0 interp=0 | render ms 14.89/15.43/16.11 | fps 59.7 | tri 2304 | fill 623 win 987 under 0 | synth 3319 cy/pump 47.60 Mcy/s 1982 cy/sample | pump worst 396.38 us peak 418.52 us | AHASH s=432000 f40738e3
T t=19.0 bar=9 sec=1 smooth=0 interp=0 | render ms 16.14/16.86/17.56 | fps 38.8 | tri 2304 | fill 623 win 988 under 0 | synth 3006 cy/pump 43.10 Mcy/s 1827 cy/sample | pump worst 386.41 us peak 418.52 us | AHASH s=456000 40f1de23
T t=20.0 bar=10 sec=1 smooth=0 interp=0 | render ms 17.14/17.26/17.45 | fps 29.8 | tri 2304 | fill 623 win 987 under 0 | synth 2853 cy/pump 40.91 Mcy/s 1704 cy/sample | pump worst 332.65 us peak 418.52 us | AHASH s=480000 3e21693c
T t=21.0 bar=10 sec=1 smooth=0 interp=0 | render ms 17.20/17.49/17.68 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 2860 cy/pump 41.02 Mcy/s 1709 cy/sample | pump worst 312.75 us peak 418.52 us | AHASH s=504000 5f957bcb
T t=22.0 bar=11 sec=1 smooth=0 interp=0 | render ms 17.66/17.78/17.94 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 2870 cy/pump 41.17 Mcy/s 1715 cy/sample | pump worst 306.30 us peak 418.52 us | AHASH s=528000 d8ed3f43
T t=23.0 bar=12 sec=1 smooth=0 interp=0 | render ms 17.18/17.56/17.94 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 2874 cy/pump 41.21 Mcy/s 1717 cy/sample | pump worst 413.64 us peak 418.52 us | AHASH s=552000 d84e24e9
