T t=0.9 bar=0 sec=0 smooth=0 interp=0 | render ms 24.79/25.12/25.84 | fps 29.9 | tri 0 | fill 623 win 623 under 0 | synth 2604 cy/pump 36.83 Mcy/s 1588 cy/sample | pump worst 237.71 us peak 237.71 us | AHASH s=24000 72959068
T t=1.9 bar=1 sec=0 smooth=0 interp=0 | render ms 25.12/25.33/25.50 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 2575 cy/pump 36.92 Mcy/s 1538 cy/sample | pump worst 250.93 us peak 250.93 us | AHASH s=48000 1e24624e
T t=2.9 bar=1 sec=0 smooth=0 interp=0 | render ms 21.05/22.41/25.54 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 2576 cy/pump 36.95 Mcy/s 1539 cy/sample | pump worst 248.93 us peak 250.93 us | AHASH s=72000 77496e7f
T t=3.9 bar=2 sec=0 smooth=0 interp=0 | render ms 21.06/21.11/21.19 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 2584 cy/pump 37.06 Mcy/s 1544 cy/sample | pump worst 254.89 us peak 254.89 us | AHASH s=96000 3b823140
T t=4.9 bar=2 sec=0 smooth=0 interp=0 | render ms 21.03/21.08/21.21 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 2582 cy/pump 37.03 Mcy/s 1542 cy/sample | pump worst 239.91 us peak 254.89 us | AHASH s=120000 4ba67242
T t=5.9 bar=3 sec=0 smooth=0 interp=0 | render ms 20.98/21.02/21.10 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 2583 cy/pump 37.04 Mcy/s 1543 cy/sample | pump worst 241.63 us peak 254.89 us | AHASH s=144000 b76888c7
T t=6.9 bar=3 sec=0 smooth=0 interp=0 | render ms 20.91/20.95/21.03 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 2579 cy/pump 36.98 Mcy/s 1541 cy/sample | pump worst 236.59 us peak 254.89 us | AHASH s=168000 83a88b43
T t=7.9 bar=4 sec=0 smooth=0 interp=0 | render ms 20.87/20.94/21.02 | fps 29.8 | tri 0 | fill 623 win 986 under 0 | synth 2589 cy/pump 37.13 Mcy/s 1547 cy/sample | pump worst 255.55 us peak 255.55 us | AHASH s=192000 8e8cf339
T t=9.0 bar=4 sec=0 smooth=0 interp=0 | render ms 20.87/20.98/21.05 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 2566 cy/pump 36.80 Mcy/s 1533 cy/sample | pump worst 247.13 us peak 255.55 us | AHASH s=216000 ca5b3953
T t=10.0 bar=5 sec=0 smooth=0 interp=0 | render ms 21.05/21.10/21.13 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 2588 cy/pump 37.11 Mcy/s 1546 cy/sample | pump worst 246.95 us peak 255.55 us | AHASH s=240000 f48d4b54
T t=11.0 bar=5 sec=0 smooth=0 interp=0 | render ms 21.05/21.11/21.16 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 2576 cy/pump 36.94 Mcy/s 1539 cy/sample | pump worst 241.43 us peak 255.55 us | AHASH s=264000 20ea3d1f
T t=12.0 bar=6 sec=0 smooth=0 interp=0 | render ms 21.08/21.13/21.19 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 2583 cy/pump 37.04 Mcy/s 1543 cy/sample | pump worst 238.94 us peak 255.55 us | AHASH s=288000 b682803f
T t=13.0 bar=6 sec=0 smooth=0 interp=0 | render ms 20.99/21.07/21.22 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 2578 cy/pump 36.98 Mcy/s 1541 cy/sample | pump worst 240.81 us peak 255.55 us | AHASH s=312000 19006950
T t=14.0 bar=7 sec=0 smooth=0 interp=0 | render ms 20.96/20.99/21.06 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 2579 cy/pump 36.98 Mcy/s 1541 cy/sample | pump worst 252.56 us peak 255.55 us | AHASH s=336000 f2bcc0af
T t=15.0 bar=7 sec=0 smooth=0 interp=0 | render ms 20.84/20.90/21.04 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 2578 cy/pump 36.97 Mcy/s 1540 cy/sample | pump worst 239.03 us peak 255.55 us | AHASH s=360000 de8b2142
T t=16.0 bar=8 sec=1 smooth=0 interp=0 | render ms 20.58/23.68/25.10 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 2609 cy/pump 37.41 Mcy/s 1559 cy/sample | pump worst 241.67 us peak 255.55 us | AHASH s=384000 ff76ab08
T t=17.0 bar=8 sec=1 smooth=0 interp=0 | render ms 25.08/25.16/25.22 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 2604 cy/pump 37.34 Mcy/s 1555 cy/sample | pump worst 252.03 us peak 255.55 us | AHASH s=408000 a08798e6
