T t=0.9 bar=0 sec=0 smooth=0 interp=0 | render ms 24.83/25.10/25.72 | fps 29.9 | tri 0 | fill 623 win 623 under 0 | synth 582 cy/pump 8.23 Mcy/s 355 cy/sample | pump worst 51.85 us peak 51.85 us | AHASH s=24000 811c9dc5
T t=1.9 bar=1 sec=0 smooth=0 interp=0 | render ms 25.09/25.31/25.50 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 583 cy/pump 8.36 Mcy/s 348 cy/sample | pump worst 60.64 us peak 60.64 us | AHASH s=48000 811c9dc5
T t=2.9 bar=1 sec=0 smooth=0 interp=0 | render ms 21.02/22.39/25.53 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 585 cy/pump 8.40 Mcy/s 350 cy/sample | pump worst 43.85 us peak 60.64 us | AHASH s=72000 811c9dc5
T t=3.9 bar=2 sec=0 smooth=0 interp=0 | render ms 21.04/21.09/21.19 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 587 cy/pump 8.43 Mcy/s 351 cy/sample | pump worst 58.36 us peak 60.64 us | AHASH s=96000 811c9dc5
T t=4.9 bar=2 sec=0 smooth=0 interp=0 | render ms 21.01/21.06/21.12 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 585 cy/pump 8.39 Mcy/s 349 cy/sample | pump worst 48.82 us peak 60.64 us | AHASH s=120000 811c9dc5
T t=5.9 bar=3 sec=0 smooth=0 interp=0 | render ms 20.96/21.01/21.10 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 588 cy/pump 8.43 Mcy/s 351 cy/sample | pump worst 58.73 us peak 60.64 us | AHASH s=144000 811c9dc5
T t=6.9 bar=3 sec=0 smooth=0 interp=0 | render ms 20.89/20.94/20.99 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 582 cy/pump 8.34 Mcy/s 347 cy/sample | pump worst 42.35 us peak 60.64 us | AHASH s=168000 811c9dc5
T t=7.9 bar=4 sec=0 smooth=0 interp=0 | render ms 20.84/20.91/20.98 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 589 cy/pump 8.45 Mcy/s 352 cy/sample | pump worst 59.04 us peak 60.64 us | AHASH s=192000 811c9dc5
T t=9.0 bar=4 sec=0 smooth=0 interp=0 | render ms 20.86/20.96/21.05 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 570 cy/pump 8.17 Mcy/s 340 cy/sample | pump worst 41.29 us peak 60.64 us | AHASH s=216000 811c9dc5
T t=10.0 bar=5 sec=0 smooth=0 interp=0 | render ms 21.04/21.08/21.14 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 582 cy/pump 8.35 Mcy/s 348 cy/sample | pump worst 46.61 us peak 60.64 us | AHASH s=240000 811c9dc5
T t=11.0 bar=5 sec=0 smooth=0 interp=0 | render ms 21.04/21.09/21.14 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 578 cy/pump 8.30 Mcy/s 346 cy/sample | pump worst 46.21 us peak 60.64 us | AHASH s=264000 811c9dc5
T t=12.0 bar=6 sec=0 smooth=0 interp=0 | render ms 21.04/21.11/21.15 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 583 cy/pump 8.37 Mcy/s 348 cy/sample | pump worst 44.25 us peak 60.64 us | AHASH s=288000 811c9dc5
T t=13.0 bar=6 sec=0 smooth=0 interp=0 | render ms 20.97/21.05/21.15 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 582 cy/pump 8.35 Mcy/s 348 cy/sample | pump worst 45.95 us peak 60.64 us | AHASH s=312000 811c9dc5
T t=14.0 bar=7 sec=0 smooth=0 interp=0 | render ms 20.93/20.98/21.04 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 583 cy/pump 8.37 Mcy/s 348 cy/sample | pump worst 58.35 us peak 60.64 us | AHASH s=336000 811c9dc5
T t=15.0 bar=7 sec=0 smooth=0 interp=0 | render ms 20.79/20.88/21.04 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 578 cy/pump 8.30 Mcy/s 345 cy/sample | pump worst 45.37 us peak 60.64 us | AHASH s=360000 811c9dc5
T t=16.0 bar=8 sec=1 smooth=0 interp=0 | render ms 20.54/23.66/25.07 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 605 cy/pump 8.68 Mcy/s 362 cy/sample | pump worst 47.05 us peak 60.64 us | AHASH s=384000 811c9dc5
T t=17.0 bar=8 sec=1 smooth=0 interp=0 | render ms 25.06/25.14/25.19 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 605 cy/pump 8.67 Mcy/s 361 cy/sample | pump worst 52.00 us peak 60.64 us | AHASH s=408000 811c9dc5
T t=18.0 bar=9 sec=1 smooth=0 interp=0 | render ms 25.15/25.65/26.30 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 630 cy/pump 9.04 Mcy/s 377 cy/sample | pump worst 66.39 us peak 66.39 us | AHASH s=432000 811c9dc5
T t=19.0 bar=9 sec=1 smooth=0 interp=0 | render ms 26.44/27.20/27.75 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 677 cy/pump 9.71 Mcy/s 404 cy/sample | pump worst 56.89 us peak 66.39 us | AHASH s=456000 811c9dc5
T t=20.0 bar=10 sec=1 smooth=0 interp=0 | render ms 27.37/27.45/27.67 | fps 29.8 | tri 2304 | fill 623 win 986 under 0 | synth 684 cy/pump 9.81 Mcy/s 409 cy/sample | pump worst 62.71 us peak 66.39 us | AHASH s=480000 811c9dc5
T t=21.0 bar=10 sec=1 smooth=0 interp=0 | render ms 27.48/27.71/27.88 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 698 cy/pump 10.01 Mcy/s 417 cy/sample | pump worst 86.99 us peak 86.99 us | AHASH s=504000 811c9dc5
T t=22.0 bar=11 sec=1 smooth=0 interp=0 | render ms 27.87/27.97/28.09 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 710 cy/pump 10.19 Mcy/s 424 cy/sample | pump worst 64.67 us peak 86.99 us | AHASH s=528000 811c9dc5
T t=23.0 bar=12 sec=1 smooth=0 interp=0 | render ms 27.30/27.73/28.05 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 696 cy/pump 9.98 Mcy/s 416 cy/sample | pump worst 63.46 us peak 86.99 us | AHASH s=552000 811c9dc5
T t=24.0 bar=12 sec=1 smooth=0 interp=0 | render ms 27.31/27.40/27.59 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 687 cy/pump 9.85 Mcy/s 410 cy/sample | pump worst 52.26 us peak 86.99 us | AHASH s=576000 811c9dc5
T t=25.0 bar=13 sec=1 smooth=0 interp=0 | render ms 27.58/27.78/27.90 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 698 cy/pump 10.02 Mcy/s 417 cy/sample | pump worst 60.14 us peak 86.99 us | AHASH s=600000 811c9dc5
T t=26.0 bar=13 sec=1 smooth=0 interp=0 | render ms 27.73/27.98/28.11 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 700 cy/pump 10.04 Mcy/s 418 cy/sample | pump worst 62.34 us peak 86.99 us | AHASH s=624000 811c9dc5
T t=27.0 bar=14 sec=1 smooth=0 interp=0 | render ms 27.02/27.27/27.76 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 676 cy/pump 9.70 Mcy/s 404 cy/sample | pump worst 59.17 us peak 86.99 us | AHASH s=648000 811c9dc5
T t=28.0 bar=14 sec=1 smooth=0 interp=0 | render ms 27.01/27.09/27.20 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 679 cy/pump 9.74 Mcy/s 405 cy/sample | pump worst 64.48 us peak 86.99 us | AHASH s=672000 811c9dc5
T t=29.0 bar=15 sec=1 smooth=0 interp=0 | render ms 27.12/27.34/27.68 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 687 cy/pump 9.85 Mcy/s 410 cy/sample | pump worst 64.57 us peak 86.99 us | AHASH s=696000 811c9dc5
T t=30.0 bar=15 sec=1 smooth=0 interp=0 | render ms 26.74/27.18/27.67 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 674 cy/pump 9.67 Mcy/s 402 cy/sample | pump worst 69.19 us peak 86.99 us | AHASH s=720000 811c9dc5
T t=31.0 bar=16 sec=1 smooth=0 interp=0 | render ms 26.67/26.79/26.89 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 662 cy/pump 9.50 Mcy/s 395 cy/sample | pump worst 81.18 us peak 86.99 us | AHASH s=744000 811c9dc5
T t=32.0 bar=16 sec=1 smooth=0 interp=0 | render ms 26.89/27.10/27.32 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 667 cy/pump 9.57 Mcy/s 399 cy/sample | pump worst 51.88 us peak 86.99 us | AHASH s=768000 811c9dc5
T t=33.1 bar=17 sec=1 smooth=0 interp=0 | render ms 27.38/27.69/27.90 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 688 cy/pump 9.86 Mcy/s 411 cy/sample | pump worst 62.03 us peak 86.99 us | AHASH s=792000 811c9dc5
T t=34.1 bar=17 sec=1 smooth=0 interp=0 | render ms 27.03/27.35/27.85 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 672 cy/pump 9.64 Mcy/s 402 cy/sample | pump worst 50.71 us peak 86.99 us | AHASH s=816000 811c9dc5
T t=35.1 bar=18 sec=1 smooth=0 interp=0 | render ms 27.00/27.09/27.26 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 668 cy/pump 9.58 Mcy/s 399 cy/sample | pump worst 64.27 us peak 86.99 us | AHASH s=840000 811c9dc5
T t=36.1 bar=18 sec=1 smooth=0 interp=0 | render ms 27.31/27.47/27.62 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 680 cy/pump 9.75 Mcy/s 406 cy/sample | pump worst 63.24 us peak 86.99 us | AHASH s=864000 811c9dc5
T t=37.1 bar=19 sec=1 smooth=0 interp=0 | render ms 27.54/27.71/27.84 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 690 cy/pump 9.89 Mcy/s 412 cy/sample | pump worst 91.23 us peak 91.23 us | AHASH s=888000 811c9dc5
T t=38.1 bar=19 sec=1 smooth=0 interp=0 | render ms 27.05/27.20/27.58 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 674 cy/pump 9.66 Mcy/s 402 cy/sample | pump worst 56.53 us peak 91.23 us | AHASH s=912000 811c9dc5
T t=39.1 bar=20 sec=1 smooth=0 interp=0 | render ms 27.12/27.33/27.58 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 670 cy/pump 9.61 Mcy/s 400 cy/sample | pump worst 61.93 us peak 91.23 us | AHASH s=936000 811c9dc5
T t=40.1 bar=20 sec=1 smooth=0 interp=0 | render ms 27.58/27.70/27.89 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 685 cy/pump 9.83 Mcy/s 409 cy/sample | pump worst 64.34 us peak 91.23 us | AHASH s=960000 811c9dc5
T t=41.1 bar=21 sec=1 smooth=0 interp=0 | render ms 27.04/27.54/27.89 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 682 cy/pump 9.78 Mcy/s 407 cy/sample | pump worst 64.89 us peak 91.23 us | AHASH s=984000 811c9dc5
T t=42.1 bar=21 sec=1 smooth=0 interp=0 | render ms 26.81/26.90/27.07 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 666 cy/pump 9.55 Mcy/s 398 cy/sample | pump worst 47.40 us peak 91.23 us | AHASH s=1008000 811c9dc5
T t=43.1 bar=22 sec=1 smooth=0 interp=0 | render ms 26.88/27.03/27.20 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 676 cy/pump 9.70 Mcy/s 404 cy/sample | pump worst 82.78 us peak 91.23 us | AHASH s=1032000 811c9dc5
T t=44.1 bar=22 sec=1 smooth=0 interp=0 | render ms 27.26/27.52/27.71 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 692 cy/pump 9.93 Mcy/s 413 cy/sample | pump worst 65.34 us peak 91.23 us | AHASH s=1056000 811c9dc5
T t=45.1 bar=23 sec=1 smooth=0 interp=0 | render ms 26.86/27.04/27.42 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 667 cy/pump 9.57 Mcy/s 398 cy/sample | pump worst 64.69 us peak 91.23 us | AHASH s=1080000 811c9dc5
T t=46.1 bar=24 sec=2 smooth=0 interp=0 | render ms 27.03/27.17/27.45 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 669 cy/pump 9.60 Mcy/s 400 cy/sample | pump worst 65.25 us peak 91.23 us | AHASH s=1104000 811c9dc5
T t=47.1 bar=24 sec=2 smooth=0 interp=0 | render ms 27.44/28.09/29.30 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 704 cy/pump 10.09 Mcy/s 420 cy/sample | pump worst 68.74 us peak 91.23 us | AHASH s=1128000 811c9dc5
T t=48.1 bar=25 sec=2 smooth=0 interp=0 | render ms 29.45/30.55/31.34 | fps 29.8 | tri 2304 | fill 623 win 988 under 0 | synth 767 cy/pump 11.00 Mcy/s 458 cy/sample | pump worst 90.38 us peak 91.23 us | AHASH s=1152000 811c9dc5
T t=49.1 bar=25 sec=2 smooth=0 interp=0 | render ms 31.41/32.36/33.97 | fps 27.9 | tri 2304 | fill 623 win 988 under 0 | synth 770 cy/pump 11.04 Mcy/s 467 cy/sample | pump worst 67.14 us peak 91.23 us | AHASH s=1176000 811c9dc5
T t=50.1 bar=26 sec=2 smooth=0 interp=0 | render ms 34.14/35.60/37.24 | fps 19.9 | tri 2304 | fill 623 win 988 under 0 | synth 665 cy/pump 9.54 Mcy/s 397 cy/sample | pump worst 71.78 us peak 91.23 us | AHASH s=1200000 811c9dc5
T t=51.1 bar=26 sec=2 smooth=0 interp=0 | render ms 37.42/38.35/39.07 | fps 19.9 | tri 2284 | fill 623 win 988 under 0 | synth 662 cy/pump 9.49 Mcy/s 395 cy/sample | pump worst 61.43 us peak 91.23 us | AHASH s=1224000 811c9dc5
