T t=0.9 bar=0 sec=0 smooth=1 interp=1 | render ms 45.99/46.14/47.01 | fps 19.9 | tri 0 | fill 624 win 624 under 0 | synth 2844 cy/pump 40.22 Mcy/s 1764 cy/sample | pump worst 162.44 us peak 162.44 us | AHASH s=24000 72959068
T t=1.9 bar=1 sec=0 smooth=1 interp=1 | render ms 46.05/46.25/46.39 | fps 19.9 | tri 0 | fill 624 win 988 under 0 | synth 2818 cy/pump 40.41 Mcy/s 1683 cy/sample | pump worst 193.57 us peak 193.57 us | AHASH s=48000 1e24624e
T t=2.9 bar=1 sec=0 smooth=1 interp=1 | render ms 41.90/43.28/46.43 | fps 19.9 | tri 0 | fill 624 win 988 under 0 | synth 2814 cy/pump 40.35 Mcy/s 1681 cy/sample | pump worst 186.09 us peak 193.57 us | AHASH s=72000 77496e7f
T t=3.9 bar=2 sec=0 smooth=1 interp=1 | render ms 41.84/41.92/42.00 | fps 19.9 | tri 0 | fill 624 win 988 under 0 | synth 2820 cy/pump 40.44 Mcy/s 1685 cy/sample | pump worst 220.18 us peak 220.18 us | AHASH s=96000 efa62875
T t=4.9 bar=2 sec=0 smooth=1 interp=1 | render ms 41.76/41.84/41.96 | fps 19.9 | tri 0 | fill 624 win 988 under 0 | synth 2817 cy/pump 40.40 Mcy/s 1683 cy/sample | pump worst 189.59 us peak 220.18 us | AHASH s=120000 cceb0778
T t=5.9 bar=3 sec=0 smooth=1 interp=1 | render ms 41.71/41.77/41.86 | fps 19.9 | tri 0 | fill 624 win 988 under 0 | synth 2822 cy/pump 40.47 Mcy/s 1686 cy/sample | pump worst 173.14 us peak 220.18 us | AHASH s=144000 303e43c6
T t=6.9 bar=3 sec=0 smooth=1 interp=1 | render ms 41.67/41.72/41.82 | fps 19.9 | tri 0 | fill 624 win 988 under 0 | synth 2818 cy/pump 40.41 Mcy/s 1683 cy/sample | pump worst 156.30 us peak 220.18 us | AHASH s=168000 68f97bd8
T t=7.9 bar=4 sec=0 smooth=1 interp=1 | render ms 41.64/41.72/41.80 | fps 19.9 | tri 0 | fill 624 win 988 under 0 | synth 2817 cy/pump 40.40 Mcy/s 1683 cy/sample | pump worst 211.81 us peak 220.18 us | AHASH s=192000 41259600
T t=8.9 bar=4 sec=0 smooth=1 interp=1 | render ms 41.67/41.77/41.86 | fps 19.9 | tri 0 | fill 624 win 988 under 0 | synth 2818 cy/pump 40.42 Mcy/s 1684 cy/sample | pump worst 213.96 us peak 220.18 us | AHASH s=216000 169cf18c
T t=9.9 bar=5 sec=0 smooth=1 interp=1 | render ms 41.77/41.84/41.95 | fps 19.9 | tri 0 | fill 624 win 988 under 0 | synth 2807 cy/pump 40.25 Mcy/s 1677 cy/sample | pump worst 189.34 us peak 220.18 us | AHASH s=240000 58c34ac5
T t=10.9 bar=5 sec=0 smooth=1 interp=1 | render ms 41.84/41.90/41.98 | fps 19.9 | tri 0 | fill 624 win 988 under 0 | synth 2807 cy/pump 40.26 Mcy/s 1677 cy/sample | pump worst 185.21 us peak 220.18 us | AHASH s=264000 a93a9cbc
T t=11.9 bar=6 sec=0 smooth=1 interp=1 | render ms 41.87/41.93/42.02 | fps 19.9 | tri 0 | fill 624 win 987 under 0 | synth 2816 cy/pump 40.39 Mcy/s 1683 cy/sample | pump worst 237.91 us peak 237.91 us | AHASH s=288000 21cec8ea
T t=13.0 bar=6 sec=0 smooth=1 interp=1 | render ms 41.84/41.92/42.06 | fps 19.9 | tri 0 | fill 624 win 988 under 0 | synth 2818 cy/pump 40.41 Mcy/s 1684 cy/sample | pump worst 178.17 us peak 237.91 us | AHASH s=312000 d793541c
T t=14.0 bar=7 sec=0 smooth=1 interp=1 | render ms 41.79/41.86/41.97 | fps 19.9 | tri 0 | fill 624 win 988 under 0 | synth 2804 cy/pump 40.21 Mcy/s 1675 cy/sample | pump worst 184.19 us peak 237.91 us | AHASH s=336000 94e394f1
T t=15.0 bar=7 sec=0 smooth=1 interp=1 | render ms 41.74/41.82/41.96 | fps 19.9 | tri 0 | fill 624 win 988 under 0 | synth 2800 cy/pump 40.15 Mcy/s 1672 cy/sample | pump worst 170.82 us peak 237.91 us | AHASH s=360000 0f762b55
T t=16.0 bar=8 sec=1 smooth=1 interp=1 | render ms 41.48/47.54/51.29 | fps 16.3 | tri 2304 | fill 624 win 988 under 0 | synth 2799 cy/pump 40.14 Mcy/s 1699 cy/sample | pump worst 226.49 us peak 237.91 us | AHASH s=384000 2181769e
T t=17.0 bar=8 sec=1 smooth=1 interp=1 | render ms 51.34/51.70/51.97 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2813 cy/pump 40.34 Mcy/s 1681 cy/sample | pump worst 172.64 us peak 237.91 us | AHASH s=408000 e10dd4f6
T t=18.0 bar=9 sec=1 smooth=1 interp=1 | render ms 52.00/54.03/56.22 | fps 14.9 | tri 2304 | fill 624 win 987 under 0 | synth 2847 cy/pump 40.83 Mcy/s 1701 cy/sample | pump worst 244.35 us peak 244.35 us | AHASH s=432000 5e2acf5d
T t=19.0 bar=9 sec=1 smooth=1 interp=1 | render ms 56.57/59.04/61.23 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2915 cy/pump 41.81 Mcy/s 1742 cy/sample | pump worst 216.12 us peak 244.35 us | AHASH s=456000 349b5d84
T t=20.0 bar=10 sec=1 smooth=1 interp=1 | render ms 60.09/60.31/60.97 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2946 cy/pump 42.25 Mcy/s 1760 cy/sample | pump worst 234.94 us peak 244.35 us | AHASH s=480000 d6e34570
T t=21.0 bar=10 sec=1 smooth=1 interp=1 | render ms 60.28/61.11/61.85 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2964 cy/pump 42.50 Mcy/s 1771 cy/sample | pump worst 247.14 us peak 247.14 us | AHASH s=504000 a4bb6e83
T t=22.0 bar=11 sec=1 smooth=1 interp=1 | render ms 62.03/62.34/62.57 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2976 cy/pump 42.68 Mcy/s 1778 cy/sample | pump worst 206.52 us peak 247.14 us | AHASH s=528000 a8881ce2
T t=23.0 bar=12 sec=1 smooth=1 interp=1 | render ms 60.25/61.28/62.30 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2957 cy/pump 42.40 Mcy/s 1766 cy/sample | pump worst 234.21 us peak 247.14 us | AHASH s=552000 c826a965
T t=24.0 bar=12 sec=1 smooth=1 interp=1 | render ms 59.98/60.26/60.78 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2936 cy/pump 42.11 Mcy/s 1754 cy/sample | pump worst 223.85 us peak 247.14 us | AHASH s=576000 fb6e8ee8
T t=25.0 bar=13 sec=1 smooth=1 interp=1 | render ms 60.85/61.66/62.29 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2951 cy/pump 42.32 Mcy/s 1763 cy/sample | pump worst 223.29 us peak 247.14 us | AHASH s=600000 a4c6a640
T t=26.0 bar=13 sec=1 smooth=1 interp=1 | render ms 61.64/62.34/62.67 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2964 cy/pump 42.50 Mcy/s 1771 cy/sample | pump worst 191.81 us peak 247.14 us | AHASH s=624000 285437af
T t=27.0 bar=14 sec=1 smooth=1 interp=1 | render ms 59.92/60.44/61.44 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2936 cy/pump 42.11 Mcy/s 1754 cy/sample | pump worst 214.86 us peak 247.14 us | AHASH s=648000 dd48b670
