T t=0.9 bar=0 sec=0 smooth=1 interp=1 | render ms 46.44/46.58/47.55 | fps 19.9 | tri 0 | fill 623 win 623 under 0 | synth 2785 cy/pump 39.39 Mcy/s 1727 cy/sample | pump worst 272.06 us peak 272.06 us | AHASH s=24000 72959068
T t=1.9 bar=1 sec=0 smooth=1 interp=1 | render ms 46.49/46.69/46.81 | fps 19.9 | tri 0 | fill 623 win 987 under 0 | synth 2747 cy/pump 39.40 Mcy/s 1642 cy/sample | pump worst 279.77 us peak 279.77 us | AHASH s=48000 1e24624e
T t=2.9 bar=1 sec=0 smooth=1 interp=1 | render ms 42.34/43.71/46.85 | fps 19.9 | tri 0 | fill 623 win 988 under 0 | synth 2759 cy/pump 39.56 Mcy/s 1648 cy/sample | pump worst 267.91 us peak 279.77 us | AHASH s=72000 77496e7f
T t=3.9 bar=2 sec=0 smooth=1 interp=1 | render ms 42.29/42.35/42.45 | fps 19.9 | tri 0 | fill 623 win 987 under 0 | synth 2766 cy/pump 39.67 Mcy/s 1653 cy/sample | pump worst 300.50 us peak 300.50 us | AHASH s=96000 14a8c702
T t=4.9 bar=2 sec=0 smooth=1 interp=1 | render ms 42.19/42.27/42.37 | fps 19.9 | tri 0 | fill 623 win 988 under 0 | synth 2758 cy/pump 39.56 Mcy/s 1647 cy/sample | pump worst 279.44 us peak 300.50 us | AHASH s=120000 e3472e0f
T t=5.9 bar=3 sec=0 smooth=1 interp=1 | render ms 42.14/42.21/42.30 | fps 19.9 | tri 0 | fill 623 win 988 under 0 | synth 2757 cy/pump 39.54 Mcy/s 1647 cy/sample | pump worst 264.81 us peak 300.50 us | AHASH s=144000 c16ae2bd
T t=6.9 bar=3 sec=0 smooth=1 interp=1 | render ms 42.11/42.16/42.26 | fps 19.9 | tri 0 | fill 623 win 988 under 0 | synth 2756 cy/pump 39.52 Mcy/s 1647 cy/sample | pump worst 275.84 us peak 300.50 us | AHASH s=168000 47058292
T t=7.9 bar=4 sec=0 smooth=1 interp=1 | render ms 42.09/42.15/42.21 | fps 19.9 | tri 0 | fill 623 win 988 under 0 | synth 2758 cy/pump 39.56 Mcy/s 1648 cy/sample | pump worst 310.51 us peak 310.51 us | AHASH s=192000 8ee6bf70
T t=8.9 bar=4 sec=0 smooth=1 interp=1 | render ms 42.14/42.20/42.26 | fps 19.9 | tri 0 | fill 623 win 988 under 0 | synth 2747 cy/pump 39.40 Mcy/s 1641 cy/sample | pump worst 290.46 us peak 310.51 us | AHASH s=216000 bc2302ee
T t=9.9 bar=5 sec=0 smooth=1 interp=1 | render ms 42.22/42.27/42.36 | fps 19.9 | tri 0 | fill 623 win 988 under 0 | synth 2751 cy/pump 39.46 Mcy/s 1644 cy/sample | pump worst 280.87 us peak 310.51 us | AHASH s=240000 79634d4c
T t=10.9 bar=5 sec=0 smooth=1 interp=1 | render ms 42.27/42.32/42.37 | fps 19.9 | tri 0 | fill 623 win 988 under 0 | synth 2760 cy/pump 39.58 Mcy/s 1649 cy/sample | pump worst 268.21 us peak 310.51 us | AHASH s=264000 afcd6e4a
