T t=0.9 bar=0 sec=0 smooth=1 interp=1 | render ms 66.58/66.89/68.03 | fps 13.9 | tri 0 | fill 623 win 623 under 0 | synth 2498 cy/pump 35.32 Mcy/s 1577 cy/sample | pump worst 227.48 us peak 227.48 us | AHASH s=24000 72959068
T t=1.9 bar=1 sec=0 smooth=1 interp=1 | render ms 66.88/67.13/67.34 | fps 12.7 | tri 0 | fill 623 win 988 under 0 | synth 2449 cy/pump 35.12 Mcy/s 1487 cy/sample | pump worst 235.69 us peak 235.69 us | AHASH s=48000 1e24624e
T t=2.9 bar=1 sec=0 smooth=1 interp=1 | render ms 62.97/64.27/67.40 | fps 13.9 | tri 0 | fill 623 win 988 under 0 | synth 2468 cy/pump 35.39 Mcy/s 1450 cy/sample | pump worst 229.35 us peak 235.69 us | AHASH s=72000 77496e7f
T t=3.9 bar=2 sec=0 smooth=1 interp=1 | render ms 63.03/63.12/63.20 | fps 14.9 | tri 0 | fill 623 win 988 under 0 | synth 2489 cy/pump 35.69 Mcy/s 1486 cy/sample | pump worst 235.06 us peak 235.69 us | AHASH s=96000 3b823140
T t=4.9 bar=2 sec=0 smooth=1 interp=1 | render ms 63.13/63.17/63.23 | fps 14.9 | tri 0 | fill 623 win 988 under 0 | synth 2486 cy/pump 35.65 Mcy/s 1485 cy/sample | pump worst 233.23 us peak 235.69 us | AHASH s=120000 4ba67242
T t=5.9 bar=3 sec=0 smooth=1 interp=1 | render ms 63.11/63.17/63.24 | fps 14.9 | tri 0 | fill 623 win 988 under 0 | synth 2487 cy/pump 35.67 Mcy/s 1486 cy/sample | pump worst 238.57 us peak 238.57 us | AHASH s=144000 b76888c7
T t=6.9 bar=3 sec=0 smooth=1 interp=1 | render ms 63.14/63.20/63.31 | fps 14.9 | tri 0 | fill 623 win 988 under 0 | synth 2489 cy/pump 35.69 Mcy/s 1487 cy/sample | pump worst 233.65 us peak 238.57 us | AHASH s=168000 83a88b43
T t=7.9 bar=4 sec=0 smooth=1 interp=1 | render ms 63.20/63.26/63.34 | fps 14.9 | tri 0 | fill 623 win 988 under 0 | synth 2491 cy/pump 35.72 Mcy/s 1489 cy/sample | pump worst 240.27 us peak 240.27 us | AHASH s=192000 8e8cf339
T t=8.9 bar=4 sec=0 smooth=1 interp=1 | render ms 63.31/63.35/63.41 | fps 14.9 | tri 0 | fill 623 win 988 under 0 | synth 2486 cy/pump 35.65 Mcy/s 1485 cy/sample | pump worst 230.32 us peak 240.27 us | AHASH s=216000 ca5b3953
T t=9.9 bar=5 sec=0 smooth=1 interp=1 | render ms 63.45/63.49/63.57 | fps 14.9 | tri 0 | fill 623 win 988 under 0 | synth 2490 cy/pump 35.70 Mcy/s 1487 cy/sample | pump worst 237.63 us peak 240.27 us | AHASH s=240000 f48d4b54
T t=10.9 bar=5 sec=0 smooth=1 interp=1 | render ms 63.49/63.54/63.58 | fps 14.9 | tri 0 | fill 623 win 988 under 0 | synth 2493 cy/pump 35.75 Mcy/s 1489 cy/sample | pump worst 230.72 us peak 240.27 us | AHASH s=264000 20ea3d1f
T t=11.9 bar=6 sec=0 smooth=1 interp=1 | render ms 63.53/63.58/63.68 | fps 14.9 | tri 0 | fill 623 win 988 under 0 | synth 2491 cy/pump 35.73 Mcy/s 1488 cy/sample | pump worst 236.79 us peak 240.27 us | AHASH s=288000 b682803f
T t=13.0 bar=6 sec=0 smooth=1 interp=1 | render ms 63.43/63.51/63.64 | fps 14.9 | tri 0 | fill 623 win 987 under 0 | synth 2488 cy/pump 35.68 Mcy/s 1486 cy/sample | pump worst 234.21 us peak 240.27 us | AHASH s=312000 19006950
T t=14.0 bar=7 sec=0 smooth=1 interp=1 | render ms 63.33/63.38/63.47 | fps 14.9 | tri 0 | fill 623 win 988 under 0 | synth 2488 cy/pump 35.68 Mcy/s 1487 cy/sample | pump worst 228.43 us peak 240.27 us | AHASH s=336000 f2bcc0af
T t=15.0 bar=7 sec=0 smooth=1 interp=1 | render ms 63.08/63.23/63.37 | fps 14.9 | tri 0 | fill 623 win 988 under 0 | synth 2483 cy/pump 35.61 Mcy/s 1483 cy/sample | pump worst 227.12 us peak 240.27 us | AHASH s=360000 de8b2142
T t=15.9 bar=8 sec=1 smooth=1 interp=1 | render ms 62.82/68.59/72.56 | fps 12.9 | tri 2304 | fill 623 win 988 under 0 | synth 2509 cy/pump 35.98 Mcy/s 1525 cy/sample | pump worst 240.32 us peak 240.32 us | AHASH s=384000 ff76ab08
T t=17.0 bar=8 sec=1 smooth=1 interp=1 | render ms 72.67/72.97/73.17 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2527 cy/pump 36.25 Mcy/s 1510 cy/sample | pump worst 254.70 us peak 254.70 us | AHASH s=408000 a08798e6
T t=18.0 bar=9 sec=1 smooth=1 interp=1 | render ms 73.09/75.06/77.23 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2552 cy/pump 36.60 Mcy/s 1525 cy/sample | pump worst 281.41 us peak 281.41 us | AHASH s=432000 7ad90e0e
