T t=5.0 bar=2 sec=0 dma=1 interp=1 | render ms 8.34/8.37/8.92 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2732 cy/pump 39.18 Mcy/s 1632 cy/sample | pump worst 188.23 us peak 188.23 us | AHASH s=120000 0d9de080 | last_us prep=807 wait=2864 field=0 mesh=0 other=4678 texels=0
T t=6.0 bar=3 sec=0 dma=1 interp=1 | render ms 8.34/8.37/8.50 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2734 cy/pump 39.21 Mcy/s 1633 cy/sample | pump worst 188.10 us peak 188.23 us | AHASH s=144000 1c3e99cd | last_us prep=801 wait=2873 field=0 mesh=0 other=4672 texels=0
T t=7.0 bar=3 sec=0 dma=1 interp=1 | render ms 8.35/8.37/8.50 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2730 cy/pump 39.15 Mcy/s 1631 cy/sample | pump worst 196.53 us peak 196.53 us | AHASH s=168000 a38de5ea | last_us prep=802 wait=2872 field=0 mesh=0 other=4695 texels=0
T t=8.0 bar=4 sec=0 dma=1 interp=1 | render ms 8.36/8.38/8.54 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2750 cy/pump 39.44 Mcy/s 1643 cy/sample | pump worst 171.01 us peak 196.53 us | AHASH s=192000 67e018ab | last_us prep=801 wait=2866 field=0 mesh=0 other=4693 texels=0
T t=9.0 bar=4 sec=0 dma=1 interp=1 | render ms 8.37/8.39/8.51 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3075 cy/pump 44.09 Mcy/s 1837 cy/sample | pump worst 198.03 us peak 198.03 us | AHASH s=216000 276671b1 | last_us prep=808 wait=2882 field=0 mesh=0 other=4705 texels=0
T t=10.0 bar=5 sec=0 dma=1 interp=1 | render ms 8.38/8.41/8.54 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3080 cy/pump 44.17 Mcy/s 1841 cy/sample | pump worst 209.69 us peak 209.69 us | AHASH s=240000 5ea71bd4 | last_us prep=818 wait=2877 field=0 mesh=0 other=4705 texels=0
T t=11.0 bar=5 sec=0 dma=1 interp=1 | render ms 8.39/8.41/8.55 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2968 cy/pump 42.57 Mcy/s 1773 cy/sample | pump worst 199.83 us peak 209.69 us | AHASH s=264000 d8f62c1d | last_us prep=811 wait=2860 field=0 mesh=0 other=4739 texels=0
T t=12.0 bar=6 sec=0 dma=1 interp=1 | render ms 8.39/8.41/8.52 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2759 cy/pump 39.57 Mcy/s 1648 cy/sample | pump worst 165.89 us peak 209.69 us | AHASH s=288000 bb44bf8c | last_us prep=809 wait=2864 field=0 mesh=0 other=4769 texels=0
T t=13.0 bar=6 sec=0 dma=1 interp=1 | render ms 8.40/8.42/8.54 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2757 cy/pump 39.54 Mcy/s 1647 cy/sample | pump worst 187.88 us peak 209.69 us | AHASH s=312000 7715fdfa | last_us prep=814 wait=2875 field=0 mesh=0 other=4727 texels=0
T t=14.0 bar=7 sec=0 dma=1 interp=1 | render ms 8.39/8.44/8.88 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2761 cy/pump 39.60 Mcy/s 1650 cy/sample | pump worst 189.91 us peak 209.69 us | AHASH s=336000 e189ab4e | last_us prep=834 wait=2861 field=0 mesh=0 other=5178 texels=0
T t=15.0 bar=7 sec=0 dma=1 interp=1 | render ms 8.83/8.86/8.98 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2762 cy/pump 39.61 Mcy/s 1650 cy/sample | pump worst 190.51 us peak 209.69 us | AHASH s=360000 ed945189 | last_us prep=808 wait=2864 field=0 mesh=0 other=5176 texels=0
