
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=0.9 bar=0 sec=0 dma=1 interp=1 | render ms 20.49/20.72/20.76 | fps 29.9 | tri 0 | fill 623 win 623 under 0 | synth 2253 cy/pump 31.86 Mcy/s 1373 cy/sample | pump worst 152.21 us peak 152.21 us | AHASH s=24000 e15a9231 | last_us prep=813 wait=2883 field=0 mesh=0 other=17029 texels=0
T t=1.9 bar=0 sec=0 dma=1 interp=1 | render ms 20.73/21.18/21.39 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 2233 cy/pump 32.02 Mcy/s 1334 cy/sample | pump worst 156.20 us peak 156.20 us | AHASH s=48000 794ca689 | last_us prep=810 wait=2864 field=0 mesh=0 other=17679 texels=0
T t=2.9 bar=1 sec=0 dma=1 interp=1 | render ms 8.76/8.79/8.94 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2563 cy/pump 36.76 Mcy/s 1507 cy/sample | pump worst 168.26 us peak 168.26 us | AHASH s=72000 3789faa7 | last_us prep=828 wait=2857 field=0 mesh=0 other=5094 texels=0
T t=3.9 bar=1 sec=0 dma=1 interp=1 | render ms 8.33/8.36/8.50 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2578 cy/pump 36.97 Mcy/s 1540 cy/sample | pump worst 175.82 us peak 175.82 us | AHASH s=96000 df8d6817 | last_us prep=815 wait=2881 field=0 mesh=0 other=4675 texels=0
T t=5.0 bar=2 sec=0 dma=1 interp=1 | render ms 8.35/8.36/8.50 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2715 cy/pump 38.93 Mcy/s 1622 cy/sample | pump worst 192.26 us peak 192.26 us | AHASH s=120000 0d9de080 | last_us prep=836 wait=2858 field=0 mesh=0 other=4673 texels=0
T t=6.0 bar=3 sec=0 dma=1 interp=1 | render ms 8.34/8.37/8.54 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2711 cy/pump 38.88 Mcy/s 1620 cy/sample | pump worst 189.73 us peak 192.26 us | AHASH s=144000 1c3e99cd | last_us prep=808 wait=2884 field=0 mesh=0 other=4667 texels=0
T t=7.0 bar=3 sec=0 dma=1 interp=1 | render ms 8.35/8.37/8.52 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2728 cy/pump 39.12 Mcy/s 1629 cy/sample | pump worst 191.78 us peak 192.26 us | AHASH s=168000 a38de5ea | last_us prep=849 wait=2848 field=0 mesh=0 other=4684 texels=0
T t=8.0 bar=4 sec=0 dma=1 interp=1 | render ms 8.36/8.38/8.54 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2754 cy/pump 39.49 Mcy/s 1645 cy/sample | pump worst 180.12 us peak 192.26 us | AHASH s=192000 67e018ab | last_us prep=809 wait=2867 field=0 mesh=0 other=4709 texels=0
T t=9.0 bar=4 sec=0 dma=1 interp=1 | render ms 8.36/8.39/8.53 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3075 cy/pump 44.10 Mcy/s 1837 cy/sample | pump worst 203.01 us peak 203.01 us | AHASH s=216000 276671b1 | last_us prep=807 wait=2867 field=0 mesh=0 other=4707 texels=0
T t=10.0 bar=5 sec=0 dma=1 interp=1 | render ms 8.38/8.41/8.53 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3080 cy/pump 44.17 Mcy/s 1840 cy/sample | pump worst 211.82 us peak 211.82 us | AHASH s=240000 5ea71bd4 | last_us prep=820 wait=2889 field=0 mesh=0 other=4710 texels=0
T t=11.0 bar=5 sec=0 dma=1 interp=1 | render ms 8.38/8.41/8.54 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2971 cy/pump 42.61 Mcy/s 1775 cy/sample | pump worst 204.95 us peak 211.82 us | AHASH s=264000 d8f62c1d | last_us prep=810 wait=2869 field=0 mesh=0 other=4720 texels=0
T t=12.0 bar=6 sec=0 dma=1 interp=1 | render ms 8.39/8.41/8.54 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2756 cy/pump 39.52 Mcy/s 1646 cy/sample | pump worst 169.55 us peak 211.82 us | AHASH s=288000 bb44bf8c | last_us prep=830 wait=2837 field=0 mesh=0 other=4729 texels=0
T t=13.0 bar=6 sec=0 dma=1 interp=1 | render ms 8.39/8.42/8.55 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2762 cy/pump 39.60 Mcy/s 1650 cy/sample | pump worst 192.95 us peak 211.82 us | AHASH s=312000 7715fdfa | last_us prep=820 wait=2848 field=0 mesh=0 other=4741 texels=0
