SELFTEST accelerator=0 (real SIO registers)
T t=0.9 bar=0 sec=0 dma=1 interp=1 | render ms 9.29/9.55/9.59 | fps 58.8 | tri 0 | fill 623 win 623 under 0 | synth 2526 cy/pump 35.73 Mcy/s 1514 cy/sample | pump worst 192.66 us peak 192.66 us | AHASH s=24000 e15a9231 | last_us prep=35 wait=3551 field=0 mesh=0 other=5950 texels=0
T t=1.9 bar=0 sec=0 dma=1 interp=1 | render ms 9.53/9.72/9.83 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2516 cy/pump 36.08 Mcy/s 1503 cy/sample | pump worst 191.88 us peak 192.66 us | AHASH s=48000 794ca689 | last_us prep=36 wait=3553 field=0 mesh=0 other=6173 texels=0
T t=2.9 bar=1 sec=0 dma=1 interp=1 | render ms 7.02/7.04/7.16 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2515 cy/pump 36.06 Mcy/s 1503 cy/sample | pump worst 164.98 us peak 192.66 us | AHASH s=72000 3789faa7 | last_us prep=36 wait=3563 field=0 mesh=0 other=3446 texels=0
T t=3.9 bar=1 sec=0 dma=1 interp=1 | render ms 6.90/6.93/7.12 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2523 cy/pump 36.19 Mcy/s 1507 cy/sample | pump worst 168.36 us peak 192.66 us | AHASH s=96000 df8d6817 | last_us prep=36 wait=3560 field=0 mesh=0 other=3340 texels=0
T t=5.0 bar=2 sec=0 dma=1 interp=1 | render ms 6.90/6.93/7.09 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2660 cy/pump 38.15 Mcy/s 1589 cy/sample | pump worst 203.58 us peak 203.58 us | AHASH s=120000 0d9de080 | last_us prep=36 wait=3549 field=0 mesh=0 other=3339 texels=0
T t=6.0 bar=3 sec=0 dma=1 interp=1 | render ms 6.91/6.93/7.09 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2662 cy/pump 38.18 Mcy/s 1591 cy/sample | pump worst 198.96 us peak 203.58 us | AHASH s=144000 1c3e99cd | last_us prep=35 wait=3560 field=0 mesh=0 other=3347 texels=0
T t=7.0 bar=3 sec=0 dma=1 interp=1 | render ms 6.90/6.94/7.10 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2662 cy/pump 38.17 Mcy/s 1591 cy/sample | pump worst 173.15 us peak 203.58 us | AHASH s=168000 a38de5ea | last_us prep=36 wait=3548 field=0 mesh=0 other=3348 texels=0
T t=8.0 bar=4 sec=0 dma=1 interp=1 | render ms 6.92/6.95/7.12 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2690 cy/pump 38.59 Mcy/s 1607 cy/sample | pump worst 178.14 us peak 203.58 us | AHASH s=192000 67e018ab | last_us prep=36 wait=3551 field=0 mesh=0 other=3361 texels=0
T t=9.0 bar=4 sec=0 dma=1 interp=1 | render ms 6.93/6.95/7.13 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3019 cy/pump 43.30 Mcy/s 1804 cy/sample | pump worst 217.88 us peak 217.88 us | AHASH s=216000 276671b1 | last_us prep=36 wait=3549 field=0 mesh=0 other=3364 texels=0
T t=10.0 bar=5 sec=0 dma=1 interp=1 | render ms 6.94/6.96/7.13 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3020 cy/pump 43.30 Mcy/s 1804 cy/sample | pump worst 204.09 us peak 217.88 us | AHASH s=240000 5ea71bd4 | last_us prep=36 wait=3556 field=0 mesh=0 other=3370 texels=0
T t=11.0 bar=5 sec=0 dma=1 interp=1 | render ms 6.90/6.96/7.12 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2909 cy/pump 41.72 Mcy/s 1739 cy/sample | pump worst 188.38 us peak 217.88 us | AHASH s=264000 d8f62c1d | last_us prep=35 wait=3506 field=0 mesh=0 other=3361 texels=0
