SELFTEST accelerator=0 (software model)
T t=0.9 bar=0 sec=0 dma=0 interp=0 | render ms 9.30/9.57/9.64 | fps 58.8 | tri 0 | fill 623 win 623 under 0 | synth 2518 cy/pump 35.61 Mcy/s 1509 cy/sample | pump worst 185.55 us peak 185.55 us | AHASH s=24000 e15a9231 | last_us prep=3807 wait=0 field=0 mesh=0 other=5731 texels=0
T t=1.9 bar=0 sec=0 dma=0 interp=0 | render ms 9.52/9.74/9.85 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2509 cy/pump 35.99 Mcy/s 1499 cy/sample | pump worst 186.84 us peak 186.84 us | AHASH s=48000 794ca689 | last_us prep=3818 wait=0 field=0 mesh=0 other=5944 texels=0
T t=2.9 bar=1 sec=0 dma=0 interp=0 | render ms 7.25/7.27/7.35 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2500 cy/pump 35.85 Mcy/s 1493 cy/sample | pump worst 154.71 us peak 186.84 us | AHASH s=72000 3789faa7 | last_us prep=3839 wait=0 field=0 mesh=0 other=3446 texels=0
T t=3.9 bar=1 sec=0 dma=0 interp=0 | render ms 7.13/7.16/7.23 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2512 cy/pump 36.02 Mcy/s 1501 cy/sample | pump worst 171.96 us peak 186.84 us | AHASH s=96000 df8d6817 | last_us prep=3816 wait=0 field=0 mesh=0 other=3349 texels=0
T t=5.0 bar=2 sec=0 dma=0 interp=0 | render ms 7.15/7.17/7.25 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2655 cy/pump 38.07 Mcy/s 1586 cy/sample | pump worst 192.54 us peak 192.54 us | AHASH s=120000 0d9de080 | last_us prep=3841 wait=0 field=0 mesh=0 other=3344 texels=0
T t=6.0 bar=3 sec=0 dma=0 interp=0 | render ms 7.14/7.17/7.23 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2656 cy/pump 38.09 Mcy/s 1587 cy/sample | pump worst 201.93 us peak 201.93 us | AHASH s=144000 1c3e99cd | last_us prep=3817 wait=0 field=0 mesh=0 other=3358 texels=0
T t=7.0 bar=3 sec=0 dma=0 interp=0 | render ms 7.14/7.17/7.25 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2651 cy/pump 38.02 Mcy/s 1584 cy/sample | pump worst 163.94 us peak 201.93 us | AHASH s=168000 a38de5ea | last_us prep=3829 wait=0 field=0 mesh=0 other=3356 texels=0
T t=8.0 bar=4 sec=0 dma=0 interp=0 | render ms 7.15/7.18/7.28 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2679 cy/pump 38.43 Mcy/s 1601 cy/sample | pump worst 179.85 us peak 201.93 us | AHASH s=192000 67e018ab | last_us prep=3819 wait=0 field=0 mesh=0 other=3357 texels=0
T t=9.0 bar=4 sec=0 dma=0 interp=0 | render ms 7.16/7.19/7.25 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3006 cy/pump 43.11 Mcy/s 1796 cy/sample | pump worst 205.21 us peak 205.21 us | AHASH s=216000 276671b1 | last_us prep=3831 wait=0 field=0 mesh=0 other=3365 texels=0
T t=10.0 bar=5 sec=0 dma=0 interp=0 | render ms 7.16/7.20/7.29 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3009 cy/pump 43.16 Mcy/s 1798 cy/sample | pump worst 202.64 us peak 205.21 us | AHASH s=240000 5ea71bd4 | last_us prep=3815 wait=0 field=0 mesh=0 other=3383 texels=0
T t=11.0 bar=5 sec=0 dma=0 interp=0 | render ms 7.16/7.20/7.28 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2895 cy/pump 41.52 Mcy/s 1730 cy/sample | pump worst 181.09 us peak 205.21 us | AHASH s=264000 d8f62c1d | last_us prep=3815 wait=0 field=0 mesh=0 other=3382 texels=0
T t=12.0 bar=6 sec=0 dma=0 interp=0 | render ms 7.16/7.20/7.27 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2688 cy/pump 38.54 Mcy/s 1606 cy/sample | pump worst 174.74 us peak 205.21 us | AHASH s=288000 bb44bf8c | last_us prep=3818 wait=0 field=0 mesh=0 other=3383 texels=0
T t=13.0 bar=6 sec=0 dma=0 interp=0 | render ms 7.15/7.20/7.27 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2688 cy/pump 38.55 Mcy/s 1606 cy/sample | pump worst 177.16 us peak 205.21 us | AHASH s=312000 7715fdfa | last_us prep=3808 wait=0 field=0 mesh=0 other=3382 texels=0
