
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=0.9 bar=0 sec=0 dma=1 interp=1 | render ms 9.28/9.55/9.59 | fps 58.8 | tri 0 | fill 623 win 623 under 0 | synth 2522 cy/pump 35.67 Mcy/s 1512 cy/sample | pump worst 196.34 us peak 196.34 us | AHASH s=24000 e15a9231 | last_us prep=35 wait=3573 field=0 mesh=0 other=5947 texels=0
T t=1.9 bar=0 sec=0 dma=1 interp=1 | render ms 9.53/9.72/9.81 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2514 cy/pump 36.06 Mcy/s 1501 cy/sample | pump worst 195.50 us peak 196.34 us | AHASH s=48000 794ca689 | last_us prep=35 wait=3545 field=0 mesh=0 other=6162 texels=0
T t=2.9 bar=1 sec=0 dma=1 interp=1 | render ms 7.02/7.04/7.16 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2514 cy/pump 36.06 Mcy/s 1501 cy/sample | pump worst 162.59 us peak 196.34 us | AHASH s=72000 3789faa7 | last_us prep=35 wait=3549 field=0 mesh=0 other=3449 texels=0
T t=3.9 bar=1 sec=0 dma=1 interp=1 | render ms 6.90/6.93/7.06 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2520 cy/pump 36.14 Mcy/s 1506 cy/sample | pump worst 174.79 us peak 196.34 us | AHASH s=96000 df8d6817 | last_us prep=35 wait=3552 field=0 mesh=0 other=3333 texels=0
T t=5.0 bar=2 sec=0 dma=1 interp=1 | render ms 6.90/6.93/7.12 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2665 cy/pump 38.21 Mcy/s 1592 cy/sample | pump worst 168.26 us peak 196.34 us | AHASH s=120000 0d9de080 | last_us prep=35 wait=3539 field=0 mesh=0 other=3334 texels=0
T t=6.0 bar=3 sec=0 dma=1 interp=1 | render ms 6.90/6.93/7.11 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2660 cy/pump 38.15 Mcy/s 1589 cy/sample | pump worst 212.44 us peak 212.44 us | AHASH s=144000 1c3e99cd | last_us prep=35 wait=3552 field=0 mesh=0 other=3341 texels=0
T t=7.0 bar=3 sec=0 dma=1 interp=1 | render ms 6.91/6.94/7.09 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2662 cy/pump 38.18 Mcy/s 1590 cy/sample | pump worst 168.14 us peak 212.44 us | AHASH s=168000 a38de5ea | last_us prep=35 wait=3568 field=0 mesh=0 other=3349 texels=0
T t=8.0 bar=4 sec=0 dma=1 interp=1 | render ms 6.91/6.94/7.07 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2688 cy/pump 38.54 Mcy/s 1606 cy/sample | pump worst 188.24 us peak 212.44 us | AHASH s=192000 67e018ab | last_us prep=35 wait=3527 field=0 mesh=0 other=3352 texels=0
T t=9.0 bar=4 sec=0 dma=1 interp=1 | render ms 6.93/6.95/7.13 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3018 cy/pump 43.28 Mcy/s 1804 cy/sample | pump worst 187.02 us peak 212.44 us | AHASH s=216000 276671b1 | last_us prep=35 wait=3569 field=0 mesh=0 other=3354 texels=0
T t=10.0 bar=5 sec=0 dma=1 interp=1 | render ms 6.91/6.95/7.08 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3028 cy/pump 43.43 Mcy/s 1809 cy/sample | pump worst 218.41 us peak 218.41 us | AHASH s=240000 5ea71bd4 | last_us prep=35 wait=3523 field=0 mesh=0 other=3376 texels=0
T t=11.0 bar=5 sec=0 dma=1 interp=1 | render ms 6.91/6.93/7.07 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2922 cy/pump 41.90 Mcy/s 1745 cy/sample | pump worst 198.24 us peak 218.41 us | AHASH s=264000 d8f62c1d | last_us prep=35 wait=3506 field=0 mesh=0 other=3379 texels=0
T t=12.0 bar=6 sec=0 dma=1 interp=1 | render ms 6.90/6.93/7.06 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2714 cy/pump 38.92 Mcy/s 1622 cy/sample | pump worst 177.00 us peak 218.41 us | AHASH s=288000 bb44bf8c | last_us prep=35 wait=3528 field=0 mesh=0 other=3382 texels=0
T t=13.0 bar=6 sec=0 dma=1 interp=1 | render ms 6.91/6.93/7.05 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2715 cy/pump 38.94 Mcy/s 1622 cy/sample | pump worst 202.12 us peak 218.41 us | AHASH s=312000 7715fdfa | last_us prep=34 wait=3522 field=0 mesh=0 other=3367 texels=0
T t=14.0 bar=7 sec=0 dma=1 interp=1 | render ms 6.91/6.94/7.11 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2715 cy/pump 38.94 Mcy/s 1622 cy/sample | pump worst 200.56 us peak 218.41 us | AHASH s=336000 e189ab4e | last_us prep=35 wait=3510 field=0 mesh=0 other=3490 texels=0
T t=15.0 bar=7 sec=0 dma=1 interp=1 | render ms 7.03/7.06/7.24 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2712 cy/pump 38.89 Mcy/s 1620 cy/sample | pump worst 172.56 us peak 218.41 us | AHASH s=360000 ed945189 | last_us prep=35 wait=3513 field=0 mesh=0 other=3494 texels=0
T t=16.0 bar=8 sec=1 dma=1 interp=1 | render ms 7.02/8.86/11.48 | fps 59.7 | tri 1143 | fill 623 win 988 under 0 | synth 2707 cy/pump 38.82 Mcy/s 1617 cy/sample | pump worst 184.40 us peak 218.41 us | AHASH s=384000 965cd480 | last_us prep=856 wait=2702 field=1411 mesh=1571 other=4908 texels=41671
T t=17.0 bar=8 sec=1 dma=1 interp=1 | render ms 8.72/10.20/11.67 | fps 59.7 | tri 1145 | fill 623 win 988 under 0 | synth 2490 cy/pump 35.71 Mcy/s 1488 cy/sample | pump worst 168.09 us peak 218.41 us | AHASH s=408000 09d8aba5 | last_us prep=865 wait=2705 field=1412 mesh=1586 other=2192 texels=41726
T t=18.0 bar=9 sec=1 dma=1 interp=1 | render ms 8.74/8.76/8.94 | fps 59.7 | tri 1132 | fill 623 win 988 under 0 | synth 2267 cy/pump 32.51 Mcy/s 1355 cy/sample | pump worst 182.23 us peak 218.41 us | AHASH s=432000 0505bfd7 | last_us prep=857 wait=2702 field=1413 mesh=1609 other=2194 texels=41878
T t=19.0 bar=9 sec=1 dma=1 interp=1 | render ms 8.77/8.81/8.95 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 2231 cy/pump 31.99 Mcy/s 1332 cy/sample | pump worst 156.44 us peak 218.41 us | AHASH s=456000 6e6f93a2 | last_us prep=861 wait=2697 field=1413 mesh=1668 other=2203 texels=42118
T t=20.0 bar=10 sec=1 dma=1 interp=1 | render ms 8.83/8.86/9.01 | fps 59.7 | tri 1141 | fill 623 win 988 under 0 | synth 2507 cy/pump 35.95 Mcy/s 1498 cy/sample | pump worst 171.18 us peak 218.41 us | AHASH s=480000 d36991df | last_us prep=857 wait=2710 field=1412 mesh=1701 other=2199 texels=42338
T t=21.0 bar=10 sec=1 dma=1 interp=1 | render ms 8.86/8.91/9.04 | fps 59.7 | tri 1146 | fill 623 win 988 under 0 | synth 2330 cy/pump 33.42 Mcy/s 1391 cy/sample | pump worst 189.12 us peak 218.41 us | AHASH s=504000 b35155a7 | last_us prep=857 wait=2694 field=1413 mesh=1758 other=2203 texels=42696
T t=22.0 bar=11 sec=1 dma=1 interp=1 | render ms 8.93/8.97/9.09 | fps 59.7 | tri 1142 | fill 623 win 988 under 0 | synth 2266 cy/pump 32.50 Mcy/s 1354 cy/sample | pump worst 180.93 us peak 218.41 us | AHASH s=528000 f86f406a | last_us prep=857 wait=2699 field=1413 mesh=1807 other=2205 texels=43012
T t=23.0 bar=11 sec=1 dma=1 interp=1 | render ms 8.98/9.01/9.16 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 2352 cy/pump 33.73 Mcy/s 1406 cy/sample | pump worst 162.73 us peak 218.41 us | AHASH s=552000 a6c6ef58 | last_us prep=865 wait=2705 field=1413 mesh=1848 other=2236 texels=43190
T t=24.0 bar=12 sec=1 dma=1 interp=1 | render ms 9.02/9.06/9.19 | fps 59.7 | tri 1142 | fill 623 win 988 under 0 | synth 2620 cy/pump 37.57 Mcy/s 1566 cy/sample | pump worst 202.59 us peak 218.41 us | AHASH s=576000 6613dad2 | last_us prep=861 wait=2717 field=1413 mesh=1890 other=2219 texels=43370
T t=25.0 bar=12 sec=1 dma=1 interp=1 | render ms 9.08/9.13/9.23 | fps 59.7 | tri 1148 | fill 623 win 988 under 0 | synth 3003 cy/pump 43.06 Mcy/s 1794 cy/sample | pump worst 189.73 us peak 218.41 us | AHASH s=600000 107657d0 | last_us prep=854 wait=2714 field=1411 mesh=1978 other=2224 texels=43708
T t=26.0 bar=13 sec=1 dma=1 interp=1 | render ms 9.18/9.23/9.33 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 3177 cy/pump 45.56 Mcy/s 1898 cy/sample | pump worst 217.13 us peak 218.41 us | AHASH s=624000 94e5902f | last_us prep=854 wait=2706 field=1412 mesh=2058 other=2232 texels=44264
T t=27.0 bar=13 sec=1 dma=1 interp=1 | render ms 9.27/9.34/9.42 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3125 cy/pump 44.81 Mcy/s 1867 cy/sample | pump worst 222.25 us peak 222.25 us | AHASH s=648000 bfa3b864 | last_us prep=855 wait=2719 field=1412 mesh=2192 other=2239 texels=45250
T t=28.0 bar=14 sec=1 dma=1 interp=1 | render ms 9.40/9.49/9.58 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3055 cy/pump 43.81 Mcy/s 1825 cy/sample | pump worst 202.39 us peak 222.25 us | AHASH s=672000 5eac1f98 | last_us prep=857 wait=2701 field=1411 mesh=2346 other=2244 texels=46516
T t=29.1 bar=14 sec=1 dma=1 interp=1 | render ms 9.55/9.65/9.71 | fps 59.7 | tri 1144 | fill 623 win 988 under 0 | synth 2983 cy/pump 42.79 Mcy/s 1783 cy/sample | pump worst 185.29 us peak 222.25 us | AHASH s=696000 09e617c9 | last_us prep=852 wait=2719 field=1412 mesh=2476 other=2250 texels=47652
T t=30.1 bar=15 sec=1 dma=1 interp=1 | render ms 9.71/9.78/9.88 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3184 cy/pump 45.66 Mcy/s 1902 cy/sample | pump worst 220.08 us peak 222.25 us | AHASH s=720000 be19da37 | last_us prep=861 wait=2712 field=1409 mesh=2604 other=2262 texels=48584
T t=31.1 bar=15 sec=1 dma=1 interp=1 | render ms 9.85/9.91/10.00 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3105 cy/pump 44.53 Mcy/s 1855 cy/sample | pump worst 218.95 us peak 222.25 us | AHASH s=744000 52be3c85 | last_us prep=853 wait=2706 field=1412 mesh=2726 other=2270 texels=49470
T t=32.1 bar=16 sec=1 dma=1 interp=1 | render ms 9.97/10.01/10.14 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3197 cy/pump 45.85 Mcy/s 1910 cy/sample | pump worst 201.57 us peak 222.25 us | AHASH s=768000 55e15374 | last_us prep=862 wait=2695 field=1411 mesh=2800 other=2278 texels=50120
T t=33.1 bar=16 sec=1 dma=1 interp=1 | render ms 10.05/10.10/10.20 | fps 59.7 | tri 1143 | fill 623 win 988 under 0 | synth 3013 cy/pump 43.20 Mcy/s 1800 cy/sample | pump worst 184.93 us peak 222.25 us | AHASH s=792000 7e177c80 | last_us prep=866 wait=2710 field=1412 mesh=2869 other=2287 texels=51023
T t=34.1 bar=17 sec=1 dma=1 interp=1 | render ms 10.12/10.19/10.32 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3190 cy/pump 45.75 Mcy/s 1906 cy/sample | pump worst 217.13 us peak 222.25 us | AHASH s=816000 54124986 | last_us prep=858 wait=2713 field=1411 mesh=2970 other=2298 texels=52204
T t=35.1 bar=17 sec=1 dma=1 interp=1 | render ms 10.25/10.34/10.43 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3133 cy/pump 44.94 Mcy/s 1872 cy/sample | pump worst 206.37 us peak 222.25 us | AHASH s=840000 1849291d | last_us prep=852 wait=2693 field=1412 mesh=3141 other=2303 texels=53706
T t=36.1 bar=18 sec=1 dma=1 interp=1 | render ms 10.42/10.50/10.59 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3199 cy/pump 45.88 Mcy/s 1911 cy/sample | pump worst 201.23 us peak 222.25 us | AHASH s=864000 949e9bd3 | last_us prep=861 wait=2699 field=1411 mesh=3251 other=2311 texels=54836
T t=37.1 bar=18 sec=1 dma=1 interp=1 | render ms 10.53/10.58/10.70 | fps 59.7 | tri 1148 | fill 623 win 988 under 0 | synth 3180 cy/pump 45.60 Mcy/s 1898 cy/sample | pump worst 193.42 us peak 222.25 us | AHASH s=888000 bfc55096 | last_us prep=861 wait=2696 field=1413 mesh=3315 other=2319 texels=55575
