
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=0.9 bar=0 sec=0 dma=1 interp=1 | render ms 9.35/9.48/9.52 | fps 58.8 | tri 0 | fill 624 win 624 under 0 | synth 623 cy/pump 8.81 Mcy/s 373 cy/sample | pump worst 36.27 us peak 36.27 us | last_us prep=35 wait=3496 field=0 mesh=0 other=5926 texels=0
T t=1.9 bar=0 sec=0 dma=1 interp=1 | render ms 9.45/9.64/9.72 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 631 cy/pump 9.05 Mcy/s 377 cy/sample | pump worst 36.33 us peak 36.33 us | last_us prep=35 wait=3489 field=0 mesh=0 other=6148 texels=0
T t=2.9 bar=1 sec=0 dma=1 interp=1 | render ms 6.95/6.97/7.12 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 635 cy/pump 9.11 Mcy/s 379 cy/sample | pump worst 36.39 us peak 36.39 us | last_us prep=35 wait=3495 field=0 mesh=0 other=3432 texels=0
T t=3.9 bar=1 sec=0 dma=1 interp=1 | render ms 6.83/6.85/6.97 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 633 cy/pump 9.08 Mcy/s 378 cy/sample | pump worst 36.26 us peak 36.39 us | last_us prep=35 wait=3504 field=0 mesh=0 other=3322 texels=0
T t=5.0 bar=2 sec=0 dma=1 interp=1 | render ms 6.84/6.86/7.02 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 632 cy/pump 9.07 Mcy/s 378 cy/sample | pump worst 36.37 us peak 36.39 us | last_us prep=35 wait=3492 field=0 mesh=0 other=3322 texels=0
T t=6.0 bar=3 sec=0 dma=1 interp=1 | render ms 6.84/6.86/7.01 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 633 cy/pump 9.08 Mcy/s 378 cy/sample | pump worst 36.39 us peak 36.39 us | last_us prep=35 wait=3492 field=0 mesh=0 other=3331 texels=0
T t=7.0 bar=3 sec=0 dma=1 interp=1 | render ms 6.85/6.86/7.02 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 632 cy/pump 9.07 Mcy/s 378 cy/sample | pump worst 36.35 us peak 36.39 us | last_us prep=35 wait=3502 field=0 mesh=0 other=3334 texels=0
T t=8.0 bar=4 sec=0 dma=1 interp=1 | render ms 6.85/6.87/7.01 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 634 cy/pump 9.09 Mcy/s 379 cy/sample | pump worst 36.46 us peak 36.46 us | last_us prep=35 wait=3496 field=0 mesh=0 other=3337 texels=0
T t=9.0 bar=4 sec=0 dma=1 interp=1 | render ms 6.86/6.87/7.02 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 632 cy/pump 9.07 Mcy/s 377 cy/sample | pump worst 36.11 us peak 36.46 us | last_us prep=35 wait=3497 field=0 mesh=0 other=3343 texels=0
T t=10.0 bar=5 sec=0 dma=1 interp=1 | render ms 6.86/6.88/7.02 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 633 cy/pump 9.08 Mcy/s 378 cy/sample | pump worst 36.28 us peak 36.46 us | last_us prep=35 wait=3502 field=0 mesh=0 other=3356 texels=0
T t=11.0 bar=5 sec=0 dma=1 interp=1 | render ms 6.87/6.89/7.01 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 633 cy/pump 9.08 Mcy/s 378 cy/sample | pump worst 36.25 us peak 36.46 us | last_us prep=35 wait=3499 field=0 mesh=0 other=3358 texels=0
T t=12.0 bar=6 sec=0 dma=1 interp=1 | render ms 6.87/6.89/7.02 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 633 cy/pump 9.07 Mcy/s 378 cy/sample | pump worst 36.30 us peak 36.46 us | last_us prep=35 wait=3497 field=0 mesh=0 other=3353 texels=0
T t=13.0 bar=6 sec=0 dma=1 interp=1 | render ms 6.88/6.89/7.01 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 631 cy/pump 9.05 Mcy/s 377 cy/sample | pump worst 36.37 us peak 36.46 us | last_us prep=35 wait=3486 field=0 mesh=0 other=3357 texels=0
T t=14.0 bar=7 sec=0 dma=1 interp=1 | render ms 6.88/6.90/7.02 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 630 cy/pump 9.04 Mcy/s 376 cy/sample | pump worst 36.57 us peak 36.57 us | last_us prep=35 wait=3495 field=0 mesh=0 other=3486 texels=0
T t=15.0 bar=7 sec=0 dma=1 interp=1 | render ms 7.00/7.02/7.15 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 634 cy/pump 9.09 Mcy/s 379 cy/sample | pump worst 36.42 us peak 36.57 us | last_us prep=35 wait=3498 field=0 mesh=0 other=3481 texels=0
T t=16.0 bar=8 sec=1 dma=1 interp=1 | render ms 7.00/8.82/11.45 | fps 59.7 | tri 1142 | fill 624 win 988 under 0 | synth 628 cy/pump 9.01 Mcy/s 375 cy/sample | pump worst 36.38 us peak 36.57 us | last_us prep=854 wait=2678 field=1412 mesh=1571 other=4901 texels=41673
T t=17.0 bar=8 sec=1 dma=1 interp=1 | render ms 8.69/10.21/11.60 | fps 59.7 | tri 1144 | fill 624 win 988 under 0 | synth 603 cy/pump 8.66 Mcy/s 360 cy/sample | pump worst 36.63 us peak 36.63 us | last_us prep=858 wait=2676 field=1412 mesh=1585 other=2190 texels=41731
T t=18.0 bar=9 sec=1 dma=1 interp=1 | render ms 8.70/8.73/8.85 | fps 59.7 | tri 1132 | fill 624 win 988 under 0 | synth 604 cy/pump 8.66 Mcy/s 361 cy/sample | pump worst 36.59 us peak 36.63 us | last_us prep=858 wait=2685 field=1414 mesh=1609 other=2195 texels=41878
T t=19.0 bar=9 sec=1 dma=1 interp=1 | render ms 8.74/8.78/8.90 | fps 59.7 | tri 1147 | fill 624 win 988 under 0 | synth 605 cy/pump 8.68 Mcy/s 361 cy/sample | pump worst 36.57 us peak 36.63 us | last_us prep=856 wait=2671 field=1414 mesh=1666 other=2197 texels=42118
T t=20.0 bar=10 sec=1 dma=1 interp=1 | render ms 8.81/8.83/8.94 | fps 59.7 | tri 1141 | fill 624 win 988 under 0 | synth 604 cy/pump 8.67 Mcy/s 361 cy/sample | pump worst 36.30 us peak 36.63 us | last_us prep=855 wait=2683 field=1412 mesh=1700 other=2199 texels=42338
T t=21.0 bar=10 sec=1 dma=1 interp=1 | render ms 8.84/8.87/8.99 | fps 59.7 | tri 1146 | fill 624 win 988 under 0 | synth 602 cy/pump 8.64 Mcy/s 360 cy/sample | pump worst 36.59 us peak 36.63 us | last_us prep=856 wait=2677 field=1413 mesh=1757 other=2204 texels=42694
T t=22.0 bar=11 sec=1 dma=1 interp=1 | render ms 8.90/8.94/9.05 | fps 59.7 | tri 1142 | fill 624 win 988 under 0 | synth 604 cy/pump 8.66 Mcy/s 360 cy/sample | pump worst 36.27 us peak 36.63 us | last_us prep=855 wait=2681 field=1413 mesh=1808 other=2206 texels=43012
T t=23.0 bar=11 sec=1 dma=1 interp=1 | render ms 8.96/8.99/9.11 | fps 59.7 | tri 1147 | fill 624 win 988 under 0 | synth 604 cy/pump 8.67 Mcy/s 361 cy/sample | pump worst 36.35 us peak 36.63 us | last_us prep=856 wait=2679 field=1414 mesh=1847 other=2212 texels=43190
T t=24.0 bar=12 sec=1 dma=1 interp=1 | render ms 8.99/9.03/9.16 | fps 59.7 | tri 1142 | fill 624 win 988 under 0 | synth 604 cy/pump 8.66 Mcy/s 361 cy/sample | pump worst 36.60 us peak 36.63 us | last_us prep=855 wait=2678 field=1414 mesh=1889 other=2219 texels=43370
T t=25.0 bar=12 sec=1 dma=1 interp=1 | render ms 9.05/9.10/9.21 | fps 59.7 | tri 1148 | fill 624 win 988 under 0 | synth 602 cy/pump 8.63 Mcy/s 359 cy/sample | pump worst 36.25 us peak 36.63 us | last_us prep=855 wait=2681 field=1413 mesh=1976 other=2223 texels=43708
