
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=0.9 bar=0 sec=0 dma=1 interp=1 | render ms 21.67/21.96/22.07 | fps 29.9 | tri 0 | fill 623 win 623 under 0 | synth 2236 cy/pump 31.63 Mcy/s 1363 cy/sample | pump worst 163.29 us peak 163.29 us | AHASH s=24000 e15a9231 | last_us prep=35 wait=3558 field=0 mesh=0 other=18447 texels=0
T t=1.9 bar=0 sec=0 dma=1 interp=1 | render ms 21.90/22.41/22.70 | fps 29.8 | tri 0 | fill 623 win 988 under 0 | synth 2220 cy/pump 31.83 Mcy/s 1326 cy/sample | pump worst 176.68 us peak 176.68 us | AHASH s=48000 794ca689 | last_us prep=34 wait=3556 field=0 mesh=0 other=19065 texels=0
T t=2.9 bar=1 sec=0 dma=1 interp=1 | render ms 8.59/8.62/8.82 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2528 cy/pump 36.26 Mcy/s 1485 cy/sample | pump worst 167.73 us peak 176.68 us | AHASH s=72000 3789faa7 | last_us prep=35 wait=3514 field=0 mesh=0 other=5055 texels=0
T t=3.9 bar=1 sec=0 dma=1 interp=1 | render ms 8.15/8.18/8.35 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2538 cy/pump 36.39 Mcy/s 1516 cy/sample | pump worst 176.98 us peak 176.98 us | AHASH s=96000 df8d6817 | last_us prep=35 wait=3540 field=0 mesh=0 other=4629 texels=0
T t=5.0 bar=2 sec=0 dma=1 interp=1 | render ms 8.15/8.19/8.36 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2677 cy/pump 38.39 Mcy/s 1599 cy/sample | pump worst 170.89 us peak 176.98 us | AHASH s=120000 0d9de080 | last_us prep=35 wait=3533 field=0 mesh=0 other=4634 texels=0
T t=6.0 bar=3 sec=0 dma=1 interp=1 | render ms 8.16/8.19/8.35 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2680 cy/pump 38.43 Mcy/s 1600 cy/sample | pump worst 187.70 us peak 187.70 us | AHASH s=144000 1c3e99cd | last_us prep=35 wait=3515 field=0 mesh=0 other=4640 texels=0
T t=7.0 bar=3 sec=0 dma=1 interp=1 | render ms 8.17/8.20/8.36 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2679 cy/pump 38.42 Mcy/s 1601 cy/sample | pump worst 170.16 us peak 187.70 us | AHASH s=168000 a38de5ea | last_us prep=35 wait=3527 field=0 mesh=0 other=4644 texels=0
T t=8.0 bar=4 sec=0 dma=1 interp=1 | render ms 8.18/8.21/8.37 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2708 cy/pump 38.84 Mcy/s 1618 cy/sample | pump worst 207.12 us peak 207.12 us | AHASH s=192000 67e018ab | last_us prep=35 wait=3539 field=0 mesh=0 other=4638 texels=0
T t=9.0 bar=4 sec=0 dma=1 interp=1 | render ms 8.19/8.22/8.38 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3032 cy/pump 43.49 Mcy/s 1811 cy/sample | pump worst 188.02 us peak 207.12 us | AHASH s=216000 276671b1 | last_us prep=35 wait=3527 field=0 mesh=0 other=4672 texels=0
T t=10.0 bar=5 sec=0 dma=1 interp=1 | render ms 8.20/8.23/8.37 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3032 cy/pump 43.48 Mcy/s 1811 cy/sample | pump worst 217.13 us peak 217.13 us | AHASH s=240000 5ea71bd4 | last_us prep=35 wait=3530 field=0 mesh=0 other=4676 texels=0
T t=11.0 bar=5 sec=0 dma=1 interp=1 | render ms 8.21/8.24/8.38 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2918 cy/pump 41.85 Mcy/s 1744 cy/sample | pump worst 185.95 us peak 217.13 us | AHASH s=264000 d8f62c1d | last_us prep=35 wait=3520 field=0 mesh=0 other=4681 texels=0
