
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=0.9 bar=0 sec=0 dma=1 interp=1 | render ms 21.53/21.82/21.92 | fps 29.9 | tri 0 | fill 624 win 624 under 0 | synth 2233 cy/pump 31.58 Mcy/s 1361 cy/sample | pump worst 161.76 us peak 161.76 us | AHASH s=24000 e15a9231 | last_us prep=34 wait=3554 field=0 mesh=0 other=18298 texels=0
T t=1.9 bar=0 sec=0 dma=1 interp=1 | render ms 21.77/22.27/22.52 | fps 29.8 | tri 0 | fill 624 win 988 under 0 | synth 2211 cy/pump 31.71 Mcy/s 1321 cy/sample | pump worst 161.76 us peak 161.76 us | AHASH s=48000 794ca689 | last_us prep=35 wait=3555 field=0 mesh=0 other=18912 texels=0
T t=2.9 bar=1 sec=0 dma=1 interp=1 | render ms 8.62/8.65/8.78 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 2514 cy/pump 36.05 Mcy/s 1477 cy/sample | pump worst 162.50 us peak 162.50 us | AHASH s=72000 3789faa7 | last_us prep=35 wait=3546 field=0 mesh=0 other=5066 texels=0
T t=3.9 bar=1 sec=0 dma=1 interp=1 | render ms 8.19/8.21/8.36 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 2520 cy/pump 36.14 Mcy/s 1506 cy/sample | pump worst 168.36 us peak 168.36 us | AHASH s=96000 df8d6817 | last_us prep=35 wait=3567 field=0 mesh=0 other=4612 texels=0
T t=5.0 bar=2 sec=0 dma=1 interp=1 | render ms 8.19/8.22/8.36 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 2660 cy/pump 38.15 Mcy/s 1589 cy/sample | pump worst 184.67 us peak 184.67 us | AHASH s=120000 0d9de080 | last_us prep=35 wait=3545 field=0 mesh=0 other=4638 texels=0
T t=6.0 bar=3 sec=0 dma=1 interp=1 | render ms 8.20/8.23/8.35 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 2661 cy/pump 38.16 Mcy/s 1590 cy/sample | pump worst 190.24 us peak 190.24 us | AHASH s=144000 1c3e99cd | last_us prep=35 wait=3566 field=0 mesh=0 other=4629 texels=0
T t=7.0 bar=3 sec=0 dma=1 interp=1 | render ms 8.21/8.24/8.37 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 2659 cy/pump 38.14 Mcy/s 1589 cy/sample | pump worst 202.91 us peak 202.91 us | AHASH s=168000 a38de5ea | last_us prep=35 wait=3553 field=0 mesh=0 other=4659 texels=0
T t=8.0 bar=4 sec=0 dma=1 interp=1 | render ms 8.22/8.25/8.37 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 2682 cy/pump 38.46 Mcy/s 1603 cy/sample | pump worst 168.02 us peak 202.91 us | AHASH s=192000 67e018ab | last_us prep=34 wait=3559 field=0 mesh=0 other=4663 texels=0
T t=9.0 bar=4 sec=0 dma=1 interp=1 | render ms 8.23/8.26/8.39 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 3015 cy/pump 43.24 Mcy/s 1801 cy/sample | pump worst 196.04 us peak 202.91 us | AHASH s=216000 276671b1 | last_us prep=35 wait=3547 field=0 mesh=0 other=4668 texels=0
T t=10.0 bar=5 sec=0 dma=1 interp=1 | render ms 8.24/8.27/8.40 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 3017 cy/pump 43.26 Mcy/s 1802 cy/sample | pump worst 200.95 us peak 202.91 us | AHASH s=240000 5ea71bd4 | last_us prep=35 wait=3568 field=0 mesh=0 other=4663 texels=0
T t=11.0 bar=5 sec=0 dma=1 interp=1 | render ms 8.23/8.27/8.42 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 2905 cy/pump 41.66 Mcy/s 1736 cy/sample | pump worst 220.08 us peak 220.08 us | AHASH s=264000 d8f62c1d | last_us prep=34 wait=3505 field=0 mesh=0 other=4691 texels=0
T t=12.0 bar=6 sec=0 dma=1 interp=1 | render ms 8.22/8.25/8.44 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 2706 cy/pump 38.81 Mcy/s 1616 cy/sample | pump worst 170.75 us peak 220.08 us | AHASH s=288000 bb44bf8c | last_us prep=34 wait=3508 field=0 mesh=0 other=4690 texels=0
T t=13.0 bar=6 sec=0 dma=1 interp=1 | render ms 8.23/8.25/8.37 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 2705 cy/pump 38.79 Mcy/s 1616 cy/sample | pump worst 180.15 us peak 220.08 us | AHASH s=312000 7715fdfa | last_us prep=34 wait=3524 field=0 mesh=0 other=4695 texels=0
T t=14.0 bar=7 sec=0 dma=1 interp=1 | render ms 8.23/8.28/8.72 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 2707 cy/pump 38.82 Mcy/s 1617 cy/sample | pump worst 188.67 us peak 220.08 us | AHASH s=336000 e189ab4e | last_us prep=34 wait=3550 field=0 mesh=0 other=5136 texels=0
T t=15.0 bar=7 sec=0 dma=1 interp=1 | render ms 8.68/8.70/8.83 | fps 59.7 | tri 0 | fill 624 win 988 under 0 | synth 2709 cy/pump 38.85 Mcy/s 1618 cy/sample | pump worst 186.20 us peak 220.08 us | AHASH s=360000 ed945189 | last_us prep=35 wait=3528 field=0 mesh=0 other=5138 texels=0
T t=16.0 bar=8 sec=1 dma=1 interp=1 | render ms 8.67/15.40/24.40 | fps 40.1 | tri 1143 | fill 624 win 988 under 0 | synth 2506 cy/pump 35.94 Mcy/s 1522 cy/sample | pump worst 171.23 us peak 220.08 us | AHASH s=384000 965cd480 | last_us prep=849 wait=2709 field=1395 mesh=1565 other=17784 texels=41671
T t=17.0 bar=8 sec=1 dma=1 interp=1 | render ms 10.55/15.59/24.62 | fps 43.8 | tri 1144 | fill 624 win 988 under 0 | synth 2332 cy/pump 33.45 Mcy/s 1370 cy/sample | pump worst 186.64 us peak 220.08 us | AHASH s=408000 09d8aba5 | last_us prep=870 wait=2691 field=1394 mesh=1580 other=4042 texels=41720
T t=18.0 bar=9 sec=1 dma=1 interp=1 | render ms 10.56/10.59/10.75 | fps 59.7 | tri 1134 | fill 624 win 988 under 0 | synth 2264 cy/pump 32.46 Mcy/s 1352 cy/sample | pump worst 184.90 us peak 220.08 us | AHASH s=432000 0505bfd7 | last_us prep=851 wait=2701 field=1395 mesh=1603 other=4048 texels=41878
T t=19.0 bar=9 sec=1 dma=1 interp=1 | render ms 10.60/10.64/10.76 | fps 59.7 | tri 1146 | fill 624 win 988 under 0 | synth 2231 cy/pump 31.99 Mcy/s 1333 cy/sample | pump worst 156.28 us peak 220.08 us | AHASH s=456000 6e6f93a2 | last_us prep=853 wait=2702 field=1396 mesh=1661 other=4065 texels=42121
T t=20.0 bar=10 sec=1 dma=1 interp=1 | render ms 10.66/10.69/10.83 | fps 59.7 | tri 1138 | fill 624 win 988 under 0 | synth 2508 cy/pump 35.97 Mcy/s 1498 cy/sample | pump worst 177.07 us peak 220.08 us | AHASH s=480000 d36991df | last_us prep=852 wait=2738 field=1394 mesh=1690 other=4057 texels=42344
