SELFTEST accelerator=0 (real SIO registers)
T t=0.9 bar=0 sec=0 dma=1 interp=1 | render ms 12.19/12.49/12.56 | fps 58.8 | tri 0 | fill 623 win 623 under 0 | synth 2534 cy/pump 35.84 Mcy/s 1519 cy/sample | pump worst 195.75 us peak 195.75 us | AHASH s=24000 e15a9231 | last_us prep=34 wait=3574 field=0 mesh=0 other=8873 texels=0
T t=1.9 bar=0 sec=0 dma=1 interp=1 | render ms 12.45/12.85/13.04 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2520 cy/pump 36.14 Mcy/s 1505 cy/sample | pump worst 194.27 us peak 195.75 us | AHASH s=48000 794ca689 | last_us prep=34 wait=3558 field=0 mesh=0 other=9358 texels=0
T t=2.9 bar=1 sec=0 dma=1 interp=1 | render ms 7.77/7.82/7.97 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2518 cy/pump 36.11 Mcy/s 1504 cy/sample | pump worst 168.91 us peak 195.75 us | AHASH s=72000 3789faa7 | last_us prep=34 wait=3529 field=0 mesh=0 other=4259 texels=0
T t=3.9 bar=1 sec=0 dma=1 interp=1 | render ms 7.47/7.49/7.67 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2529 cy/pump 36.27 Mcy/s 1511 cy/sample | pump worst 174.22 us peak 195.75 us | AHASH s=96000 df8d6817 | last_us prep=34 wait=3533 field=0 mesh=0 other=3938 texels=0
T t=5.0 bar=2 sec=0 dma=1 interp=1 | render ms 7.48/7.50/7.70 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2668 cy/pump 38.27 Mcy/s 1594 cy/sample | pump worst 188.21 us peak 195.75 us | AHASH s=120000 0d9de080 | last_us prep=34 wait=3519 field=0 mesh=0 other=3940 texels=0
T t=6.0 bar=3 sec=0 dma=1 interp=1 | render ms 7.49/7.51/7.66 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2676 cy/pump 38.38 Mcy/s 1599 cy/sample | pump worst 200.18 us peak 200.18 us | AHASH s=144000 1c3e99cd | last_us prep=34 wait=3548 field=0 mesh=0 other=3943 texels=0
T t=7.0 bar=3 sec=0 dma=1 interp=1 | render ms 7.48/7.51/7.67 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2673 cy/pump 38.33 Mcy/s 1597 cy/sample | pump worst 175.87 us peak 200.18 us | AHASH s=168000 a38de5ea | last_us prep=34 wait=3540 field=0 mesh=0 other=3950 texels=0
T t=8.0 bar=4 sec=0 dma=1 interp=1 | render ms 7.49/7.52/7.66 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2699 cy/pump 38.70 Mcy/s 1612 cy/sample | pump worst 184.33 us peak 200.18 us | AHASH s=192000 67e018ab | last_us prep=34 wait=3529 field=0 mesh=0 other=3955 texels=0
T t=9.0 bar=4 sec=0 dma=1 interp=1 | render ms 7.49/7.53/7.73 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3021 cy/pump 43.33 Mcy/s 1805 cy/sample | pump worst 201.84 us peak 201.84 us | AHASH s=216000 276671b1 | last_us prep=34 wait=3530 field=0 mesh=0 other=3967 texels=0
T t=10.0 bar=5 sec=0 dma=1 interp=1 | render ms 7.50/7.54/7.71 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3020 cy/pump 43.31 Mcy/s 1804 cy/sample | pump worst 218.95 us peak 218.95 us | AHASH s=240000 5ea71bd4 | last_us prep=34 wait=3524 field=0 mesh=0 other=3971 texels=0
T t=11.0 bar=5 sec=0 dma=1 interp=1 | render ms 7.52/7.54/7.70 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2907 cy/pump 41.69 Mcy/s 1737 cy/sample | pump worst 187.28 us peak 218.95 us | AHASH s=264000 d8f62c1d | last_us prep=34 wait=3516 field=0 mesh=0 other=3978 texels=0
T t=12.0 bar=6 sec=0 dma=1 interp=1 | render ms 7.52/7.54/7.68 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2695 cy/pump 38.65 Mcy/s 1610 cy/sample | pump worst 179.73 us peak 218.95 us | AHASH s=288000 bb44bf8c | last_us prep=34 wait=3527 field=0 mesh=0 other=3986 texels=0
T t=13.0 bar=6 sec=0 dma=1 interp=1 | render ms 7.52/7.55/7.68 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2695 cy/pump 38.65 Mcy/s 1611 cy/sample | pump worst 188.06 us peak 218.95 us | AHASH s=312000 7715fdfa | last_us prep=35 wait=3516 field=0 mesh=0 other=3990 texels=0
T t=14.0 bar=7 sec=0 dma=1 interp=1 | render ms 7.53/7.57/7.87 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2692 cy/pump 38.61 Mcy/s 1608 cy/sample | pump worst 191.83 us peak 218.95 us | AHASH s=336000 e189ab4e | last_us prep=34 wait=3528 field=0 mesh=0 other=4308 texels=0
T t=15.0 bar=7 sec=0 dma=1 interp=1 | render ms 7.86/7.88/8.04 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2693 cy/pump 38.62 Mcy/s 1609 cy/sample | pump worst 205.28 us peak 218.95 us | AHASH s=360000 ed945189 | last_us prep=34 wait=3512 field=0 mesh=0 other=4317 texels=0
T t=16.0 bar=8 sec=1 dma=1 interp=1 | render ms 7.84/11.17/14.71 | fps 59.7 | tri 1143 | fill 623 win 988 under 0 | synth 2698 cy/pump 38.69 Mcy/s 1612 cy/sample | pump worst 172.75 us peak 218.95 us | AHASH s=384000 965cd480 | last_us prep=853 wait=2718 field=1395 mesh=1560 other=8101 texels=41671
T t=17.0 bar=8 sec=1 dma=1 interp=1 | render ms 9.49/12.34/14.82 | fps 59.7 | tri 1144 | fill 623 win 988 under 0 | synth 2473 cy/pump 35.47 Mcy/s 1478 cy/sample | pump worst 182.28 us peak 218.95 us | AHASH s=408000 09d8aba5 | last_us prep=851 wait=2720 field=1393 mesh=1574 other=2992 texels=41731
T t=18.0 bar=9 sec=1 dma=1 interp=1 | render ms 9.51/9.54/9.68 | fps 59.7 | tri 1132 | fill 623 win 988 under 0 | synth 2258 cy/pump 32.38 Mcy/s 1349 cy/sample | pump worst 172.71 us peak 218.95 us | AHASH s=432000 0505bfd7 | last_us prep=852 wait=2696 field=1396 mesh=1597 other=3000 texels=41878
T t=19.0 bar=9 sec=1 dma=1 interp=1 | render ms 9.54/9.58/9.71 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 2220 cy/pump 31.84 Mcy/s 1326 cy/sample | pump worst 185.86 us peak 218.95 us | AHASH s=456000 6e6f93a2 | last_us prep=849 wait=2710 field=1395 mesh=1655 other=2997 texels=42118
T t=20.0 bar=10 sec=1 dma=1 interp=1 | render ms 9.61/9.64/9.81 | fps 59.7 | tri 1141 | fill 623 win 988 under 0 | synth 2497 cy/pump 35.81 Mcy/s 1492 cy/sample | pump worst 163.22 us peak 218.95 us | AHASH s=480000 d36991df | last_us prep=852 wait=2711 field=1395 mesh=1687 other=3016 texels=42338
T t=21.0 bar=10 sec=1 dma=1 interp=1 | render ms 9.64/9.68/9.83 | fps 59.7 | tri 1146 | fill 623 win 988 under 0 | synth 2312 cy/pump 33.15 Mcy/s 1381 cy/sample | pump worst 170.80 us peak 218.95 us | AHASH s=504000 b35155a7 | last_us prep=847 wait=2712 field=1396 mesh=1744 other=3006 texels=42694
T t=22.0 bar=11 sec=1 dma=1 interp=1 | render ms 9.70/9.74/9.88 | fps 59.7 | tri 1142 | fill 623 win 988 under 0 | synth 2254 cy/pump 32.33 Mcy/s 1347 cy/sample | pump worst 170.96 us peak 218.95 us | AHASH s=528000 f86f406a | last_us prep=847 wait=2726 field=1395 mesh=1794 other=3009 texels=43012
T t=23.0 bar=11 sec=1 dma=1 interp=1 | render ms 9.75/9.79/9.93 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 2343 cy/pump 33.60 Mcy/s 1399 cy/sample | pump worst 180.13 us peak 218.95 us | AHASH s=552000 a6c6ef58 | last_us prep=863 wait=2699 field=1395 mesh=1833 other=3032 texels=43190
T t=24.0 bar=12 sec=1 dma=1 interp=1 | render ms 9.79/9.84/10.00 | fps 59.7 | tri 1142 | fill 623 win 988 under 0 | synth 2614 cy/pump 37.48 Mcy/s 1562 cy/sample | pump worst 194.64 us peak 218.95 us | AHASH s=576000 6613dad2 | last_us prep=853 wait=2737 field=1396 mesh=1876 other=3033 texels=43370
T t=25.0 bar=12 sec=1 dma=1 interp=1 | render ms 9.86/9.91/10.05 | fps 59.7 | tri 1148 | fill 623 win 988 under 0 | synth 2990 cy/pump 42.89 Mcy/s 1786 cy/sample | pump worst 186.97 us peak 218.95 us | AHASH s=600000 107657d0 | last_us prep=846 wait=2716 field=1396 mesh=1963 other=3031 texels=43708
T t=26.0 bar=13 sec=1 dma=1 interp=1 | render ms 9.95/10.02/10.14 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 3164 cy/pump 45.38 Mcy/s 1890 cy/sample | pump worst 216.87 us peak 218.95 us | AHASH s=624000 94e5902f | last_us prep=849 wait=2716 field=1397 mesh=2044 other=3041 texels=44264
T t=27.0 bar=13 sec=1 dma=1 interp=1 | render ms 10.04/10.12/10.21 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3116 cy/pump 44.69 Mcy/s 1862 cy/sample | pump worst 223.85 us peak 223.85 us | AHASH s=648000 bfa3b864 | last_us prep=853 wait=2718 field=1397 mesh=2175 other=3051 texels=45248
T t=28.0 bar=14 sec=1 dma=1 interp=1 | render ms 10.18/10.27/10.39 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3043 cy/pump 43.63 Mcy/s 1818 cy/sample | pump worst 199.09 us peak 223.85 us | AHASH s=672000 5eac1f98 | last_us prep=850 wait=2713 field=1396 mesh=2328 other=3058 texels=46518
T t=29.1 bar=14 sec=1 dma=1 interp=1 | render ms 10.35/10.43/10.50 | fps 59.7 | tri 1143 | fill 623 win 988 under 0 | synth 2968 cy/pump 42.56 Mcy/s 1773 cy/sample | pump worst 187.98 us peak 223.85 us | AHASH s=696000 09e617c9 | last_us prep=864 wait=2698 field=1396 mesh=2456 other=3069 texels=47652
T t=30.1 bar=15 sec=1 dma=1 interp=1 | render ms 10.48/10.57/10.68 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3171 cy/pump 45.48 Mcy/s 1895 cy/sample | pump worst 216.81 us peak 223.85 us | AHASH s=720000 be19da37 | last_us prep=855 wait=2734 field=1395 mesh=2585 other=3079 texels=48600
T t=31.1 bar=15 sec=1 dma=1 interp=1 | render ms 10.63/10.70/10.77 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3093 cy/pump 44.35 Mcy/s 1848 cy/sample | pump worst 198.58 us peak 223.85 us | AHASH s=744000 52be3c85 | last_us prep=854 wait=2711 field=1395 mesh=2705 other=3092 texels=49470
T t=32.1 bar=16 sec=1 dma=1 interp=1 | render ms 10.75/10.81/10.99 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3187 cy/pump 45.71 Mcy/s 1904 cy/sample | pump worst 198.59 us peak 223.85 us | AHASH s=768000 55e15374 | last_us prep=854 wait=2737 field=1395 mesh=2779 other=3108 texels=50120
T t=33.1 bar=16 sec=1 dma=1 interp=1 | render ms 10.82/10.89/11.03 | fps 59.7 | tri 1143 | fill 623 win 988 under 0 | synth 3004 cy/pump 43.08 Mcy/s 1794 cy/sample | pump worst 187.59 us peak 223.85 us | AHASH s=792000 7e177c80 | last_us prep=853 wait=2721 field=1397 mesh=2846 other=3114 texels=51023
T t=34.1 bar=17 sec=1 dma=1 interp=1 | render ms 10.92/10.98/11.10 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3174 cy/pump 45.52 Mcy/s 1896 cy/sample | pump worst 222.60 us peak 223.85 us | AHASH s=816000 54124986 | last_us prep=851 wait=2710 field=1396 mesh=2945 other=3125 texels=52204
T t=35.1 bar=17 sec=1 dma=1 interp=1 | render ms 11.05/11.14/11.23 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3123 cy/pump 44.79 Mcy/s 1866 cy/sample | pump worst 226.71 us peak 226.71 us | AHASH s=840000 1849291d | last_us prep=849 wait=2716 field=1397 mesh=3115 other=3137 texels=53706
T t=36.1 bar=18 sec=1 dma=1 interp=1 | render ms 11.22/11.30/11.40 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3188 cy/pump 45.72 Mcy/s 1905 cy/sample | pump worst 198.51 us peak 226.71 us | AHASH s=864000 949e9bd3 | last_us prep=847 wait=2714 field=1395 mesh=3225 other=3142 texels=54836
T t=37.1 bar=18 sec=1 dma=1 interp=1 | render ms 11.33/11.38/11.52 | fps 59.7 | tri 1148 | fill 623 win 988 under 0 | synth 3167 cy/pump 45.42 Mcy/s 1892 cy/sample | pump worst 220.41 us peak 226.71 us | AHASH s=888000 bfc55096 | last_us prep=843 wait=2725 field=1397 mesh=3288 other=3153 texels=55576
T t=38.1 bar=19 sec=1 dma=1 interp=1 | render ms 11.40/11.48/11.58 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3067 cy/pump 43.98 Mcy/s 1832 cy/sample | pump worst 209.12 us peak 226.71 us | AHASH s=912000 aa750f33 | last_us prep=845 wait=2721 field=1396 mesh=3428 other=3164 texels=56594
T t=39.1 bar=19 sec=1 dma=1 interp=1 | render ms 11.54/11.64/11.73 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 2985 cy/pump 42.81 Mcy/s 1783 cy/sample | pump worst 216.27 us peak 226.71 us | AHASH s=936000 2cb8f3a8 | last_us prep=851 wait=2716 field=1396 mesh=3583 other=3177 texels=57822
T t=40.1 bar=20 sec=1 dma=1 interp=1 | render ms 11.72/11.83/11.95 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3179 cy/pump 45.59 Mcy/s 1899 cy/sample | pump worst 208.88 us peak 226.71 us | AHASH s=960000 ac1f6b61 | last_us prep=851 wait=2716 field=1397 mesh=3785 other=3182 texels=59704
T t=41.1 bar=20 sec=1 dma=1 interp=1 | render ms 11.94/12.04/12.14 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3121 cy/pump 44.76 Mcy/s 1865 cy/sample | pump worst 198.48 us peak 226.71 us | AHASH s=984000 7d9a66e0 | last_us prep=847 wait=2719 field=1397 mesh=3981 other=3191 texels=61336
T t=42.1 bar=21 sec=1 dma=1 interp=1 | render ms 12.14/12.20/12.28 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3186 cy/pump 45.69 Mcy/s 1904 cy/sample | pump worst 219.50 us peak 226.71 us | AHASH s=1008000 28199a98 | last_us prep=850 wait=2710 field=1396 mesh=4070 other=3198 texels=62272
T t=43.1 bar=21 sec=1 dma=1 interp=1 | render ms 12.19/12.24/12.37 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3169 cy/pump 45.44 Mcy/s 1893 cy/sample | pump worst 208.28 us peak 226.71 us | AHASH s=1032000 9add302a | last_us prep=847 wait=2725 field=1396 mesh=4048 other=3205 texels=62224
T t=44.1 bar=22 sec=1 dma=1 interp=1 | render ms 12.07/12.15/12.36 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3065 cy/pump 43.95 Mcy/s 1831 cy/sample | pump worst 200.19 us peak 226.71 us | AHASH s=1056000 1e28e9ed | last_us prep=852 wait=2715 field=1397 mesh=3903 other=3209 texels=61334
T t=45.1 bar=22 sec=1 dma=1 interp=1 | render ms 12.00/12.04/12.23 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 2985 cy/pump 42.81 Mcy/s 1784 cy/sample | pump worst 187.76 us peak 226.71 us | AHASH s=1080000 3c7d4ec6 | last_us prep=841 wait=2731 field=1396 mesh=3843 other=3214 texels=61096
T t=46.1 bar=23 sec=1 dma=1 interp=1 | render ms 12.01/12.06/12.19 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3184 cy/pump 45.66 Mcy/s 1902 cy/sample | pump worst 219.23 us peak 226.71 us | AHASH s=1104000 e1c23e65 | last_us prep=854 wait=2715 field=1397 mesh=3913 other=3215 texels=61502
T t=47.1 bar=23 sec=1 dma=1 interp=1 | render ms 12.08/12.15/12.25 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3017 cy/pump 43.27 Mcy/s 1802 cy/sample | pump worst 207.30 us peak 226.71 us | AHASH s=1128000 d653cc4b | last_us prep=851 wait=2715 field=1396 mesh=4031 other=3220 texels=62848
T t=48.1 bar=24 sec=2 dma=1 interp=1 | render ms 12.21/16.15/20.76 | fps 36.2 | tri 1151 | fill 623 win 988 under 0 | synth 2849 cy/pump 40.86 Mcy/s 1731 cy/sample | pump worst 190.04 us peak 226.71 us | AHASH s=1152000 d551acbe | last_us prep=869 wait=2691 field=0 mesh=5300 other=11878 texels=35182
T t=49.2 bar=24 sec=2 dma=1 interp=1 | render ms 15.48/16.81/20.79 | fps 47.8 | tri 1151 | fill 623 win 988 under 0 | synth 2912 cy/pump 41.77 Mcy/s 1712 cy/sample | pump worst 186.95 us peak 226.71 us | AHASH s=1176000 6a4c0629 | last_us prep=871 wait=2688 field=0 mesh=5264 other=6714 texels=32842
T t=50.2 bar=25 sec=2 dma=1 interp=1 | render ms 15.47/15.51/15.67 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3070 cy/pump 44.02 Mcy/s 1834 cy/sample | pump worst 214.71 us peak 226.71 us | AHASH s=1200000 a08fa215 | last_us prep=870 wait=2735 field=0 mesh=5248 other=6707 texels=32576
T t=51.2 bar=25 sec=2 dma=1 interp=1 | render ms 15.48/15.52/15.61 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3044 cy/pump 43.65 Mcy/s 1819 cy/sample | pump worst 189.78 us peak 226.71 us | AHASH s=1224000 9264ba64 | last_us prep=878 wait=2685 field=0 mesh=5309 other=6712 texels=34220
