SELFTEST accelerator=0 (real SIO registers)
T t=0.9 bar=0 sec=0 dma=1 interp=1 | render ms 10.54/10.87/10.99 | fps 58.8 | tri 0 | fill 623 win 623 under 0 | synth 2544 cy/pump 35.98 Mcy/s 1524 cy/sample | pump worst 200.04 us peak 200.04 us | AHASH s=24000 e15a9231 | last_us prep=35 wait=3579 field=0 mesh=0 other=7173 texels=0
T t=1.9 bar=0 sec=0 dma=1 interp=1 | render ms 10.75/11.03/11.22 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2530 cy/pump 36.28 Mcy/s 1511 cy/sample | pump worst 212.43 us peak 212.43 us | AHASH s=48000 794ca689 | last_us prep=36 wait=3515 field=0 mesh=0 other=7400 texels=0
T t=2.9 bar=1 sec=0 dma=1 interp=1 | render ms 6.98/7.01/7.17 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2528 cy/pump 36.26 Mcy/s 1511 cy/sample | pump worst 165.60 us peak 212.43 us | AHASH s=72000 3789faa7 | last_us prep=35 wait=3516 field=0 mesh=0 other=3432 texels=0
T t=3.9 bar=1 sec=0 dma=1 interp=1 | render ms 6.88/6.91/7.05 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2537 cy/pump 36.38 Mcy/s 1515 cy/sample | pump worst 183.52 us peak 212.43 us | AHASH s=96000 df8d6817 | last_us prep=36 wait=3526 field=0 mesh=0 other=3343 texels=0
T t=5.0 bar=2 sec=0 dma=1 interp=1 | render ms 6.89/6.92/7.07 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2680 cy/pump 38.43 Mcy/s 1602 cy/sample | pump worst 173.85 us peak 212.43 us | AHASH s=120000 0d9de080 | last_us prep=35 wait=3518 field=0 mesh=0 other=3344 texels=0
T t=6.0 bar=3 sec=0 dma=1 interp=1 | render ms 6.90/6.92/7.09 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2682 cy/pump 38.47 Mcy/s 1602 cy/sample | pump worst 222.73 us peak 222.73 us | AHASH s=144000 1c3e99cd | last_us prep=35 wait=3536 field=0 mesh=0 other=3352 texels=0
T t=7.0 bar=3 sec=0 dma=1 interp=1 | render ms 6.90/6.92/7.08 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2679 cy/pump 38.42 Mcy/s 1601 cy/sample | pump worst 175.16 us peak 222.73 us | AHASH s=168000 a38de5ea | last_us prep=36 wait=3531 field=0 mesh=0 other=3353 texels=0
T t=8.0 bar=4 sec=0 dma=1 interp=1 | render ms 6.91/6.93/7.09 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2709 cy/pump 38.84 Mcy/s 1618 cy/sample | pump worst 191.31 us peak 222.73 us | AHASH s=192000 67e018ab | last_us prep=35 wait=3538 field=0 mesh=0 other=3362 texels=0
T t=9.0 bar=4 sec=0 dma=1 interp=1 | render ms 6.91/6.94/7.09 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3036 cy/pump 43.54 Mcy/s 1813 cy/sample | pump worst 189.56 us peak 222.73 us | AHASH s=216000 276671b1 | last_us prep=36 wait=3518 field=0 mesh=0 other=3378 texels=0
T t=10.0 bar=5 sec=0 dma=1 interp=1 | render ms 6.92/6.94/7.07 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3034 cy/pump 43.51 Mcy/s 1812 cy/sample | pump worst 205.37 us peak 222.73 us | AHASH s=240000 5ea71bd4 | last_us prep=35 wait=3522 field=0 mesh=0 other=3379 texels=0
T t=11.0 bar=5 sec=0 dma=1 interp=1 | render ms 6.92/6.95/7.12 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2924 cy/pump 41.94 Mcy/s 1747 cy/sample | pump worst 186.53 us peak 222.73 us | AHASH s=264000 d8f62c1d | last_us prep=35 wait=3531 field=0 mesh=0 other=3386 texels=0
