SELFTEST accelerator=0 (real SIO registers)
T t=0.9 bar=0 sec=0 dma=1 interp=1 | render ms 9.28/9.55/9.60 | fps 58.8 | tri 0 | fill 623 win 623 under 0 | synth 2538 cy/pump 35.89 Mcy/s 1520 cy/sample | pump worst 199.92 us peak 199.92 us | AHASH s=24000 e15a9231 | last_us prep=35 wait=3572 field=0 mesh=0 other=5932 texels=0
T t=1.9 bar=0 sec=0 dma=1 interp=1 | render ms 9.54/9.72/9.83 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2529 cy/pump 36.26 Mcy/s 1511 cy/sample | pump worst 193.47 us peak 199.92 us | AHASH s=48000 794ca689 | last_us prep=35 wait=3541 field=0 mesh=0 other=6172 texels=0
T t=2.9 bar=1 sec=0 dma=1 interp=1 | render ms 7.01/7.04/7.16 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2524 cy/pump 36.20 Mcy/s 1508 cy/sample | pump worst 164.34 us peak 199.92 us | AHASH s=72000 3789faa7 | last_us prep=35 wait=3570 field=0 mesh=0 other=3441 texels=0
T t=3.9 bar=1 sec=0 dma=1 interp=1 | render ms 6.91/6.94/7.09 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2535 cy/pump 36.36 Mcy/s 1514 cy/sample | pump worst 172.78 us peak 199.92 us | AHASH s=96000 df8d6817 | last_us prep=35 wait=3563 field=0 mesh=0 other=3352 texels=0
T t=5.0 bar=2 sec=0 dma=1 interp=1 | render ms 6.90/6.94/7.08 | fps 59.7 | tri 0 | fill 623 win 987 under 0 | synth 2677 cy/pump 38.39 Mcy/s 1599 cy/sample | pump worst 178.84 us peak 199.92 us | AHASH s=120000 0d9de080 | last_us prep=35 wait=3521 field=0 mesh=0 other=3357 texels=0
T t=6.0 bar=3 sec=0 dma=1 interp=1 | render ms 6.89/6.92/7.05 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2680 cy/pump 38.43 Mcy/s 1601 cy/sample | pump worst 200.17 us peak 200.17 us | AHASH s=144000 1c3e99cd | last_us prep=35 wait=3527 field=0 mesh=0 other=3356 texels=0
T t=7.0 bar=3 sec=0 dma=1 interp=1 | render ms 6.90/6.93/7.08 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2686 cy/pump 38.51 Mcy/s 1603 cy/sample | pump worst 175.62 us peak 200.17 us | AHASH s=168000 a38de5ea | last_us prep=35 wait=3531 field=0 mesh=0 other=3353 texels=0
T t=8.0 bar=4 sec=0 dma=1 interp=1 | render ms 6.90/6.93/7.08 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2707 cy/pump 38.83 Mcy/s 1617 cy/sample | pump worst 203.25 us peak 203.25 us | AHASH s=192000 67e018ab | last_us prep=35 wait=3509 field=0 mesh=0 other=3366 texels=0
T t=9.0 bar=4 sec=0 dma=1 interp=1 | render ms 6.91/6.94/7.08 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3037 cy/pump 43.55 Mcy/s 1814 cy/sample | pump worst 187.01 us peak 203.25 us | AHASH s=216000 276671b1 | last_us prep=35 wait=3527 field=0 mesh=0 other=3378 texels=0
T t=10.0 bar=5 sec=0 dma=1 interp=1 | render ms 6.92/6.95/7.08 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 3038 cy/pump 43.56 Mcy/s 1815 cy/sample | pump worst 206.69 us peak 206.69 us | AHASH s=240000 5ea71bd4 | last_us prep=35 wait=3510 field=0 mesh=0 other=3374 texels=0
T t=11.0 bar=5 sec=0 dma=1 interp=1 | render ms 6.93/6.95/7.10 | fps 59.7 | tri 0 | fill 623 win 988 under 0 | synth 2926 cy/pump 41.96 Mcy/s 1748 cy/sample | pump worst 189.53 us peak 206.69 us | AHASH s=264000 d8f62c1d | last_us prep=35 wait=3519 field=0 mesh=0 other=3384 texels=0
