SELFTEST accelerator=0 (real SIO registers)
T t=0.9 bar=0 sec=0 dma=1 interp=1 | render ms 1.02/1.08/1.25 | fps 58.8 | spans 0 | repeat 1 | over 0 | fill 626 win 626 under 0 | synth 2058 cy/pump 29.10 Mcy/s 1233 cy/sample | pump worst 130.57 us peak 130.57 us | AHASH s=24000 6b88cae2 | last_us prep=2 world=257 lights=0 board=829 other=2 shot=1 world_id=0 lights_n=0
T t=1.9 bar=1 sec=0 dma=1 interp=1 | render ms 1.08/1.09/1.13 | fps 59.7 | spans 0 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 1986 cy/pump 28.49 Mcy/s 1187 cy/sample | pump worst 100.54 us peak 130.57 us | AHASH s=48000 431aec17 | last_us prep=2 world=256 lights=0 board=830 other=1 shot=1 world_id=0 lights_n=0
T t=2.9 bar=1 sec=0 dma=1 interp=1 | render ms 1.08/1.09/1.13 | fps 59.7 | spans 0 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2009 cy/pump 28.81 Mcy/s 1200 cy/sample | pump worst 121.62 us peak 130.57 us | AHASH s=72000 d85b3957 | last_us prep=2 world=256 lights=0 board=830 other=1 shot=1 world_id=0 lights_n=0
T t=3.9 bar=2 sec=0 dma=1 interp=1 | render ms 1.10/1.13/1.14 | fps 59.7 | spans 0 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2099 cy/pump 30.10 Mcy/s 1254 cy/sample | pump worst 124.69 us peak 130.57 us | AHASH s=96000 1a6e5f17 | last_us prep=2 world=257 lights=0 board=873 other=1 shot=1 world_id=0 lights_n=0
T t=5.0 bar=3 sec=0 dma=1 interp=1 | render ms 1.13/1.13/1.18 | fps 59.7 | spans 0 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 1988 cy/pump 28.52 Mcy/s 1187 cy/sample | pump worst 98.74 us peak 130.57 us | AHASH s=120000 22709f37 | last_us prep=2 world=257 lights=0 board=873 other=1 shot=1 world_id=0 lights_n=0
T t=6.0 bar=4 sec=0 dma=1 interp=1 | render ms 1.13/1.19/4.76 | fps 59.7 | spans 1129 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2028 cy/pump 29.08 Mcy/s 1211 cy/sample | pump worst 146.91 us peak 146.91 us | AHASH s=144000 9c89b320 | last_us prep=3 world=4759 lights=837 board=0 other=1 shot=2 world_id=1 lights_n=7
T t=7.0 bar=4 sec=0 dma=1 interp=1 | render ms 4.76/4.87/5.04 | fps 59.7 | spans 1129 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2706 cy/pump 38.81 Mcy/s 1616 cy/sample | pump worst 216.31 us peak 216.31 us | AHASH s=168000 814d6140 | last_us prep=10 world=4758 lights=837 board=0 other=2 shot=2 world_id=1 lights_n=7
T t=8.0 bar=5 sec=0 dma=1 interp=1 | render ms 4.76/4.87/5.03 | fps 59.7 | spans 1129 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2697 cy/pump 38.68 Mcy/s 1611 cy/sample | pump worst 215.63 us peak 216.31 us | AHASH s=192000 31b1c5b9 | last_us prep=10 world=4772 lights=836 board=0 other=3 shot=2 world_id=1 lights_n=7
T t=9.0 bar=6 sec=0 dma=1 interp=1 | render ms 4.76/4.87/5.03 | fps 59.7 | spans 1129 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2648 cy/pump 37.97 Mcy/s 1581 cy/sample | pump worst 211.88 us peak 216.31 us | AHASH s=216000 61b6be09 | last_us prep=10 world=4792 lights=836 board=0 other=3 shot=2 world_id=1 lights_n=7
T t=10.0 bar=6 sec=0 dma=1 interp=1 | render ms 4.70/5.29/6.04 | fps 59.7 | spans 1111 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2651 cy/pump 38.01 Mcy/s 1584 cy/sample | pump worst 214.70 us peak 216.31 us | AHASH s=240000 25d03fb3 | last_us prep=9 world=5882 lights=1910 board=0 other=2 shot=2 world_id=1 lights_n=6
T t=11.0 bar=7 sec=0 dma=1 interp=1 | render ms 5.57/5.81/6.14 | fps 59.7 | spans 1099 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2594 cy/pump 37.20 Mcy/s 1550 cy/sample | pump worst 251.99 us peak 251.99 us | AHASH s=264000 4de0a9c1 | last_us prep=10 world=5664 lights=1718 board=0 other=3 shot=2 world_id=1 lights_n=6
T t=12.0 bar=8 sec=1 dma=1 interp=1 | render ms 5.58/5.81/6.06 | fps 59.7 | spans 1093 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2592 cy/pump 37.18 Mcy/s 1549 cy/sample | pump worst 232.56 us peak 251.99 us | AHASH s=288000 6c973ea8 | last_us prep=9 world=5799 lights=1864 board=0 other=3 shot=2 world_id=1 lights_n=6
T t=13.0 bar=8 sec=1 dma=1 interp=1 | render ms 5.54/5.93/6.56 | fps 59.7 | spans 1086 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2624 cy/pump 37.63 Mcy/s 1568 cy/sample | pump worst 236.86 us peak 251.99 us | AHASH s=312000 b9d7221a | last_us prep=10 world=5973 lights=2092 board=0 other=2 shot=2 world_id=1 lights_n=8
T t=14.0 bar=9 sec=1 dma=1 interp=1 | render ms 6.00/6.27/6.65 | fps 59.7 | spans 1086 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2622 cy/pump 37.60 Mcy/s 1567 cy/sample | pump worst 215.53 us peak 251.99 us | AHASH s=336000 88bd8014 | last_us prep=11 world=6003 lights=2126 board=0 other=2 shot=2 world_id=1 lights_n=6
T t=15.0 bar=10 sec=1 dma=1 interp=1 | render ms 6.02/6.50/7.14 | fps 59.7 | spans 1099 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2621 cy/pump 37.59 Mcy/s 1566 cy/sample | pump worst 210.98 us peak 251.99 us | AHASH s=360000 6ad1254f | last_us prep=10 world=6751 lights=2814 board=0 other=2 shot=2 world_id=1 lights_n=6
T t=16.0 bar=10 sec=1 dma=1 interp=1 | render ms 6.45/6.79/7.21 | fps 59.7 | spans 1090 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2620 cy/pump 37.58 Mcy/s 1566 cy/sample | pump worst 218.16 us peak 251.99 us | AHASH s=384000 dd8ae638 | last_us prep=9 world=6587 lights=2739 board=0 other=3 shot=2 world_id=1 lights_n=6
T t=17.0 bar=11 sec=1 dma=1 interp=1 | render ms 6.40/6.97/7.66 | fps 59.7 | spans 1081 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2621 cy/pump 37.59 Mcy/s 1565 cy/sample | pump worst 210.04 us peak 251.99 us | AHASH s=408000 7d89b7ab | last_us prep=10 world=7053 lights=3201 board=0 other=2 shot=2 world_id=1 lights_n=6
T t=18.0 bar=12 sec=1 dma=1 interp=1 | render ms 4.86/7.07/7.59 | fps 59.7 | spans 1261 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2666 cy/pump 38.22 Mcy/s 1592 cy/sample | pump worst 211.17 us peak 251.99 us | AHASH s=432000 8e26e7b3 | last_us prep=9 world=4876 lights=630 board=0 other=3 shot=2 world_id=2 lights_n=2
T t=19.0 bar=12 sec=1 dma=1 interp=1 | render ms 4.27/4.75/5.44 | fps 59.7 | spans 1245 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2747 cy/pump 39.40 Mcy/s 1641 cy/sample | pump worst 224.21 us peak 251.99 us | AHASH s=456000 50b688a1 | last_us prep=10 world=4592 lights=276 board=0 other=3 shot=2 world_id=2 lights_n=1
T t=20.0 bar=13 sec=1 dma=1 interp=1 | render ms 4.27/4.63/5.00 | fps 59.7 | spans 1258 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2710 cy/pump 38.86 Mcy/s 1619 cy/sample | pump worst 221.92 us peak 251.99 us | AHASH s=480000 16acb6dc | last_us prep=10 world=4825 lights=489 board=0 other=3 shot=2 world_id=2 lights_n=1
