T t=3.9 bar=2 sec=0 dma=1 interp=1 | render ms 1.09/1.13/1.15 | fps 59.7 | spans 0 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2100 cy/pump 30.11 Mcy/s 1254 cy/sample | pump worst 124.58 us peak 130.09 us | AHASH s=96000 1a6e5f17 | last_us prep=2 world=257 lights=0 board=874 other=0 shot=1 world_id=0 lights_n=0
T t=5.0 bar=3 sec=0 dma=1 interp=1 | render ms 1.13/1.13/1.18 | fps 59.7 | spans 0 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 1989 cy/pump 28.52 Mcy/s 1188 cy/sample | pump worst 99.01 us peak 130.09 us | AHASH s=120000 22709f37 | last_us prep=2 world=257 lights=0 board=873 other=0 shot=1 world_id=0 lights_n=0
T t=6.0 bar=4 sec=0 dma=1 interp=1 | render ms 1.13/1.19/4.76 | fps 59.7 | spans 1129 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2027 cy/pump 29.07 Mcy/s 1211 cy/sample | pump worst 147.46 us peak 147.46 us | AHASH s=144000 9c89b320 | last_us prep=2 world=4759 lights=836 board=0 other=1 shot=2 world_id=1 lights_n=7
T t=7.0 bar=4 sec=0 dma=1 interp=1 | render ms 4.76/4.87/5.03 | fps 59.7 | spans 1129 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2702 cy/pump 38.74 Mcy/s 1614 cy/sample | pump worst 211.93 us peak 211.93 us | AHASH s=168000 814d6140 | last_us prep=10 world=4759 lights=837 board=0 other=3 shot=2 world_id=1 lights_n=7
T t=8.0 bar=5 sec=0 dma=1 interp=1 | render ms 4.76/4.87/5.03 | fps 59.7 | spans 1129 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2695 cy/pump 38.65 Mcy/s 1610 cy/sample | pump worst 218.14 us peak 218.14 us | AHASH s=192000 31b1c5b9 | last_us prep=9 world=4755 lights=837 board=0 other=3 shot=2 world_id=1 lights_n=7
T t=9.0 bar=6 sec=0 dma=1 interp=1 | render ms 4.76/4.87/5.05 | fps 59.7 | spans 1129 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2646 cy/pump 37.94 Mcy/s 1581 cy/sample | pump worst 212.82 us peak 218.14 us | AHASH s=216000 61b6be09 | last_us prep=9 world=4760 lights=836 board=0 other=3 shot=2 world_id=1 lights_n=7
T t=10.0 bar=6 sec=0 dma=1 interp=1 | render ms 4.69/5.29/5.98 | fps 59.7 | spans 1111 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2651 cy/pump 38.02 Mcy/s 1584 cy/sample | pump worst 212.17 us peak 218.14 us | AHASH s=240000 25d03fb3 | last_us prep=10 world=5841 lights=1910 board=0 other=2 shot=2 world_id=1 lights_n=6
T t=11.0 bar=7 sec=0 dma=1 interp=1 | render ms 5.59/5.81/6.15 | fps 59.7 | spans 1099 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2594 cy/pump 37.20 Mcy/s 1550 cy/sample | pump worst 214.28 us peak 218.14 us | AHASH s=264000 4de0a9c1 | last_us prep=10 world=5673 lights=1736 board=0 other=4 shot=2 world_id=1 lights_n=6
T t=12.0 bar=8 sec=1 dma=1 interp=1 | render ms 5.57/5.82/6.08 | fps 59.7 | spans 1093 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2596 cy/pump 37.23 Mcy/s 1551 cy/sample | pump worst 246.77 us peak 246.77 us | AHASH s=288000 6c973ea8 | last_us prep=10 world=5816 lights=1873 board=0 other=2 shot=2 world_id=1 lights_n=6
T t=13.0 bar=8 sec=1 dma=1 interp=1 | render ms 5.55/5.92/6.57 | fps 59.7 | spans 1086 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2620 cy/pump 37.58 Mcy/s 1565 cy/sample | pump worst 214.73 us peak 246.77 us | AHASH s=312000 b9d7221a | last_us prep=10 world=5985 lights=2099 board=0 other=2 shot=2 world_id=1 lights_n=8
T t=14.0 bar=9 sec=1 dma=1 interp=1 | render ms 5.96/6.27/6.65 | fps 59.7 | spans 1089 | repeat 1 | over 0 | fill 624 win 988 under 0 | synth 2623 cy/pump 37.62 Mcy/s 1567 cy/sample | pump worst 217.38 us peak 246.77 us | AHASH s=336000 88bd8014 | last_us prep=9 world=6049 lights=2134 board=0 other=3 shot=2 world_id=1 lights_n=6
