
BOOT SLEEPER dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=0.9 bar=0 sec=0 dma=1 interp=1 | render ms 1.02/1.08/1.09 | fps 59.7 | spans 0 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2030 cy/pump 29.11 Mcy/s 1234 cy/sample | pump worst 133.97 us peak 133.97 us | AHASH s=24000 6b88cae2 | last_us prep=2 world=258 lights=0 board=836 other=0 shot=1 world_id=0 lights_n=0
T t=1.9 bar=1 sec=0 dma=1 interp=1 | render ms 1.08/1.09/1.12 | fps 59.7 | spans 0 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 1988 cy/pump 28.52 Mcy/s 1188 cy/sample | pump worst 101.63 us peak 133.97 us | AHASH s=48000 431aec17 | last_us prep=2 world=257 lights=0 board=836 other=1 shot=1 world_id=0 lights_n=0
T t=2.9 bar=1 sec=0 dma=1 interp=1 | render ms 1.08/1.09/1.12 | fps 59.7 | spans 0 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2008 cy/pump 28.80 Mcy/s 1200 cy/sample | pump worst 121.09 us peak 133.97 us | AHASH s=72000 d85b3957 | last_us prep=2 world=257 lights=0 board=836 other=1 shot=1 world_id=0 lights_n=0
T t=3.9 bar=2 sec=0 dma=1 interp=1 | render ms 1.10/1.13/1.14 | fps 59.7 | spans 0 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2099 cy/pump 30.10 Mcy/s 1254 cy/sample | pump worst 125.21 us peak 133.97 us | AHASH s=96000 1a6e5f17 | last_us prep=2 world=257 lights=0 board=880 other=1 shot=1 world_id=0 lights_n=0
T t=5.0 bar=3 sec=0 dma=1 interp=1 | render ms 1.13/1.13/1.17 | fps 59.7 | spans 0 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 1989 cy/pump 28.52 Mcy/s 1188 cy/sample | pump worst 98.57 us peak 133.97 us | AHASH s=120000 22709f37 | last_us prep=2 world=257 lights=0 board=880 other=1 shot=1 world_id=0 lights_n=0
T t=6.0 bar=4 sec=0 dma=1 interp=1 | render ms 1.13/1.20/4.96 | fps 59.7 | spans 1129 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2030 cy/pump 29.11 Mcy/s 1213 cy/sample | pump worst 197.40 us peak 197.40 us | AHASH s=144000 9c89b320 | last_us prep=3 world=4959 lights=842 board=0 other=0 shot=2 world_id=1 lights_n=7
T t=7.0 bar=4 sec=0 dma=1 interp=1 | render ms 4.76/4.88/4.98 | fps 59.7 | spans 1129 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2706 cy/pump 38.81 Mcy/s 1617 cy/sample | pump worst 216.56 us peak 216.56 us | AHASH s=168000 814d6140 | last_us prep=10 world=4951 lights=841 board=0 other=2 shot=2 world_id=1 lights_n=7
T t=8.0 bar=5 sec=0 dma=1 interp=1 | render ms 4.76/4.87/4.98 | fps 59.7 | spans 1129 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2703 cy/pump 38.76 Mcy/s 1615 cy/sample | pump worst 222.42 us peak 222.42 us | AHASH s=192000 31b1c5b9 | last_us prep=11 world=4958 lights=851 board=0 other=1 shot=2 world_id=1 lights_n=7
T t=9.0 bar=6 sec=0 dma=1 interp=1 | render ms 4.76/4.87/4.97 | fps 59.7 | spans 1129 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2650 cy/pump 38.01 Mcy/s 1584 cy/sample | pump worst 241.12 us peak 241.12 us | AHASH s=216000 61b6be09 | last_us prep=11 world=4939 lights=841 board=0 other=2 shot=2 world_id=1 lights_n=7
T t=10.0 bar=6 sec=0 dma=1 interp=1 | render ms 4.69/5.29/6.05 | fps 59.7 | spans 1111 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2654 cy/pump 38.07 Mcy/s 1586 cy/sample | pump worst 215.52 us peak 241.12 us | AHASH s=240000 25d03fb3 | last_us prep=11 world=6034 lights=1923 board=0 other=2 shot=2 world_id=1 lights_n=6
T t=11.0 bar=7 sec=0 dma=1 interp=1 | render ms 5.60/5.82/6.06 | fps 59.7 | spans 1099 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2595 cy/pump 37.22 Mcy/s 1551 cy/sample | pump worst 214.92 us peak 241.12 us | AHASH s=264000 4de0a9c1 | last_us prep=11 world=5810 lights=1729 board=0 other=2 shot=2 world_id=1 lights_n=6
