
BOOT SLEEPER dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=0.9 bar=0 sec=0 dma=1 interp=1 | render ms 1.01/1.07/1.08 | fps 59.7 | spans 0 | repeat 0 | over 0 | fields 64 firstrep 0 boot 1 | fill 987 win 987 under 0 | synth 2029 cy/pump 29.10 Mcy/s 1233 cy/sample | pump worst 135.31 us peak 135.31 us | AHASH s=24000 6b88cae2 | last_us prep=2 world=257 lights=0 board=822 other=0 shot=1 world_id=0 lights_n=0
T t=1.9 bar=1 sec=0 dma=1 interp=1 | render ms 1.08/1.08/1.12 | fps 59.7 | spans 0 | repeat 0 | over 0 | fields 124 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 1988 cy/pump 28.51 Mcy/s 1188 cy/sample | pump worst 106.52 us peak 135.31 us | AHASH s=48000 431aec17 | last_us prep=2 world=257 lights=0 board=822 other=0 shot=1 world_id=0 lights_n=0
T t=2.9 bar=1 sec=0 dma=1 interp=1 | render ms 1.08/1.08/1.11 | fps 59.7 | spans 0 | repeat 0 | over 0 | fields 184 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2008 cy/pump 28.80 Mcy/s 1200 cy/sample | pump worst 121.23 us peak 135.31 us | AHASH s=72000 d85b3957 | last_us prep=2 world=257 lights=0 board=821 other=0 shot=1 world_id=0 lights_n=0
T t=3.9 bar=2 sec=0 dma=1 interp=1 | render ms 1.08/1.11/1.12 | fps 59.7 | spans 0 | repeat 0 | over 0 | fields 244 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2097 cy/pump 30.08 Mcy/s 1253 cy/sample | pump worst 131.25 us peak 135.31 us | AHASH s=96000 1a6e5f17 | last_us prep=2 world=258 lights=0 board=866 other=0 shot=1 world_id=0 lights_n=0
T t=5.0 bar=3 sec=0 dma=1 interp=1 | render ms 1.12/1.12/1.16 | fps 59.7 | spans 0 | repeat 0 | over 0 | fields 304 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 1989 cy/pump 28.52 Mcy/s 1188 cy/sample | pump worst 102.09 us peak 135.31 us | AHASH s=120000 22709f37 | last_us prep=2 world=258 lights=0 board=867 other=0 shot=1 world_id=0 lights_n=0
T t=6.0 bar=4 sec=0 dma=1 interp=1 | render ms 1.12/1.19/5.47 | fps 59.7 | spans 1358 | repeat 0 | over 0 | fields 364 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2030 cy/pump 29.11 Mcy/s 1212 cy/sample | pump worst 198.39 us peak 198.39 us | AHASH s=144000 9c89b320 | last_us prep=2 world=5465 lights=879 board=0 other=1 shot=2 world_id=1 lights_n=7
T t=7.0 bar=4 sec=0 dma=1 interp=1 | render ms 5.18/5.34/5.48 | fps 59.7 | spans 1358 | repeat 0 | over 0 | fields 424 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2709 cy/pump 38.84 Mcy/s 1618 cy/sample | pump worst 217.79 us peak 217.79 us | AHASH s=168000 814d6140 | last_us prep=11 world=5444 lights=880 board=0 other=3 shot=2 world_id=1 lights_n=7
T t=8.0 bar=5 sec=0 dma=1 interp=1 | render ms 5.18/5.34/5.49 | fps 59.7 | spans 1358 | repeat 0 | over 0 | fields 484 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2708 cy/pump 38.83 Mcy/s 1618 cy/sample | pump worst 216.06 us peak 217.79 us | AHASH s=192000 31b1c5b9 | last_us prep=10 world=5461 lights=880 board=0 other=2 shot=2 world_id=1 lights_n=7
T t=9.0 bar=6 sec=0 dma=1 interp=1 | render ms 5.18/5.34/5.48 | fps 59.7 | spans 1358 | repeat 0 | over 0 | fields 544 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2653 cy/pump 38.05 Mcy/s 1585 cy/sample | pump worst 215.26 us peak 217.79 us | AHASH s=216000 61b6be09 | last_us prep=11 world=5456 lights=879 board=0 other=2 shot=2 world_id=1 lights_n=7
T t=10.0 bar=6 sec=0 dma=1 interp=1 | render ms 5.11/5.75/6.56 | fps 59.7 | spans 1318 | repeat 0 | over 0 | fields 604 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2656 cy/pump 38.09 Mcy/s 1587 cy/sample | pump worst 217.36 us peak 217.79 us | AHASH s=240000 25d03fb3 | last_us prep=11 world=6542 lights=1937 board=0 other=3 shot=2 world_id=1 lights_n=6
T t=11.0 bar=7 sec=0 dma=1 interp=1 | render ms 6.05/6.47/6.85 | fps 59.7 | spans 1359 | repeat 0 | over 0 | fields 664 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2596 cy/pump 37.23 Mcy/s 1551 cy/sample | pump worst 213.69 us peak 217.79 us | AHASH s=264000 4de0a9c1 | last_us prep=11 world=6413 lights=1747 board=0 other=2 shot=2 world_id=1 lights_n=7
