SELFTEST accelerator=0 (real SIO registers)
T t=0.9 bar=0 sec=0 dma=1 interp=1 | render ms 1.02/1.08/1.09 | fps 59.7 | spans 0 | repeat 1 | over 0 | fill 987 win 987 under 0 | synth 2028 cy/pump 29.11 Mcy/s 1233 cy/sample | pump worst 132.10 us peak 132.10 us | AHASH s=24000 6b88cae2 | last_us prep=2 world=257 lights=0 board=829 other=1 shot=1 world_id=0 lights_n=0
T t=1.9 bar=1 sec=0 dma=1 interp=1 | render ms 1.08/1.09/1.13 | fps 59.7 | spans 0 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 1988 cy/pump 28.51 Mcy/s 1187 cy/sample | pump worst 100.90 us peak 132.10 us | AHASH s=48000 431aec17 | last_us prep=2 world=256 lights=0 board=830 other=1 shot=1 world_id=0 lights_n=0
T t=2.9 bar=1 sec=0 dma=1 interp=1 | render ms 1.08/1.09/1.12 | fps 59.7 | spans 0 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2010 cy/pump 28.83 Mcy/s 1201 cy/sample | pump worst 120.99 us peak 132.10 us | AHASH s=72000 d85b3957 | last_us prep=2 world=257 lights=0 board=830 other=1 shot=1 world_id=0 lights_n=0
T t=4.0 bar=2 sec=0 dma=1 interp=1 | render ms 1.10/1.13/1.14 | fps 59.7 | spans 0 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2098 cy/pump 30.09 Mcy/s 1253 cy/sample | pump worst 125.71 us peak 132.10 us | AHASH s=96000 1a6e5f17 | last_us prep=2 world=257 lights=0 board=872 other=1 shot=1 world_id=0 lights_n=0
T t=5.0 bar=3 sec=0 dma=1 interp=1 | render ms 1.13/1.13/1.18 | fps 59.7 | spans 0 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 1989 cy/pump 28.52 Mcy/s 1187 cy/sample | pump worst 98.48 us peak 132.10 us | AHASH s=120000 22709f37 | last_us prep=2 world=257 lights=0 board=874 other=1 shot=1 world_id=0 lights_n=0
T t=6.0 bar=4 sec=0 dma=1 interp=1 | render ms 1.13/1.19/4.76 | fps 59.7 | spans 1129 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2031 cy/pump 29.13 Mcy/s 1213 cy/sample | pump worst 150.17 us peak 150.17 us | AHASH s=144000 9c89b320 | last_us prep=4 world=4758 lights=836 board=0 other=0 shot=2 world_id=1 lights_n=7
T t=7.0 bar=4 sec=0 dma=1 interp=1 | render ms 4.76/4.87/5.03 | fps 59.7 | spans 1129 | repeat 1 | over 0 | fill 986 win 986 under 0 | synth 2700 cy/pump 38.73 Mcy/s 1613 cy/sample | pump worst 215.20 us peak 215.20 us | AHASH s=168000 814d6140 | last_us prep=10 world=4759 lights=836 board=0 other=2 shot=2 world_id=1 lights_n=7
T t=8.0 bar=5 sec=0 dma=1 interp=1 | render ms 4.77/4.87/5.03 | fps 59.7 | spans 1129 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2697 cy/pump 38.67 Mcy/s 1611 cy/sample | pump worst 211.78 us peak 215.20 us | AHASH s=192000 31b1c5b9 | last_us prep=10 world=4765 lights=836 board=0 other=2 shot=2 world_id=1 lights_n=7
T t=9.0 bar=6 sec=0 dma=1 interp=1 | render ms 4.76/4.87/5.03 | fps 59.7 | spans 1129 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2648 cy/pump 37.98 Mcy/s 1582 cy/sample | pump worst 211.45 us peak 215.20 us | AHASH s=216000 61b6be09 | last_us prep=9 world=4759 lights=836 board=0 other=3 shot=2 world_id=1 lights_n=7
T t=10.0 bar=6 sec=0 dma=1 interp=1 | render ms 4.68/5.29/6.04 | fps 59.7 | spans 1111 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2650 cy/pump 38.00 Mcy/s 1583 cy/sample | pump worst 215.06 us peak 215.20 us | AHASH s=240000 25d03fb3 | last_us prep=10 world=5845 lights=1916 board=0 other=3 shot=2 world_id=1 lights_n=6
T t=11.0 bar=7 sec=0 dma=1 interp=1 | render ms 5.58/5.81/6.12 | fps 59.7 | spans 1099 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2591 cy/pump 37.16 Mcy/s 1547 cy/sample | pump worst 208.01 us peak 215.20 us | AHASH s=264000 4de0a9c1 | last_us prep=10 world=5663 lights=1712 board=0 other=2 shot=2 world_id=1 lights_n=6
