
BOOT SLEEPER dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=0.9 bar=0 sec=0 dma=1 interp=1 | render ms 1.02/1.08/1.09 | fps 59.7 | spans 0 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2028 cy/pump 29.11 Mcy/s 1233 cy/sample | pump worst 131.85 us peak 131.85 us | AHASH s=24000 6b88cae2 | last_us prep=2 world=257 lights=0 board=830 other=1 shot=1 world_id=0 lights_n=0
T t=1.9 bar=1 sec=0 dma=1 interp=1 | render ms 1.08/1.09/1.13 | fps 59.7 | spans 0 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 1988 cy/pump 28.51 Mcy/s 1188 cy/sample | pump worst 100.88 us peak 131.85 us | AHASH s=48000 431aec17 | last_us prep=2 world=257 lights=0 board=830 other=1 shot=1 world_id=0 lights_n=0
T t=2.9 bar=1 sec=0 dma=1 interp=1 | render ms 1.08/1.09/1.13 | fps 59.7 | spans 0 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2008 cy/pump 28.79 Mcy/s 1200 cy/sample | pump worst 121.00 us peak 131.85 us | AHASH s=72000 d85b3957 | last_us prep=2 world=257 lights=0 board=830 other=1 shot=1 world_id=0 lights_n=0
T t=3.9 bar=2 sec=0 dma=1 interp=1 | render ms 1.09/1.13/1.14 | fps 59.7 | spans 0 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2098 cy/pump 30.09 Mcy/s 1253 cy/sample | pump worst 125.31 us peak 131.85 us | AHASH s=96000 1a6e5f17 | last_us prep=2 world=257 lights=0 board=873 other=1 shot=1 world_id=0 lights_n=0
T t=5.0 bar=3 sec=0 dma=1 interp=1 | render ms 1.13/1.13/1.18 | fps 59.7 | spans 0 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 1989 cy/pump 28.52 Mcy/s 1188 cy/sample | pump worst 98.57 us peak 131.85 us | AHASH s=120000 22709f37 | last_us prep=2 world=257 lights=0 board=873 other=1 shot=1 world_id=0 lights_n=0
T t=6.0 bar=4 sec=0 dma=1 interp=1 | render ms 1.13/1.19/4.81 | fps 59.7 | spans 1129 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2031 cy/pump 29.13 Mcy/s 1213 cy/sample | pump worst 206.96 us peak 206.96 us | AHASH s=144000 9c89b320 | last_us prep=3 world=4810 lights=836 board=0 other=1 shot=2 world_id=1 lights_n=7
T t=7.0 bar=4 sec=0 dma=1 interp=1 | render ms 4.77/4.87/5.03 | fps 59.7 | spans 1129 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2700 cy/pump 38.73 Mcy/s 1613 cy/sample | pump worst 212.92 us peak 212.92 us | AHASH s=168000 814d6140 | last_us prep=10 world=4809 lights=835 board=0 other=2 shot=2 world_id=1 lights_n=7
T t=8.0 bar=5 sec=0 dma=1 interp=1 | render ms 4.77/4.87/5.04 | fps 59.7 | spans 1129 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2697 cy/pump 38.68 Mcy/s 1611 cy/sample | pump worst 215.01 us peak 215.01 us | AHASH s=192000 31b1c5b9 | last_us prep=10 world=4804 lights=838 board=1 other=2 shot=2 world_id=1 lights_n=7
T t=9.0 bar=6 sec=0 dma=1 interp=1 | render ms 4.77/4.87/5.02 | fps 59.7 | spans 1129 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2643 cy/pump 37.91 Mcy/s 1579 cy/sample | pump worst 212.53 us peak 215.01 us | AHASH s=216000 61b6be09 | last_us prep=10 world=4790 lights=837 board=0 other=2 shot=2 world_id=1 lights_n=7
T t=10.0 bar=6 sec=0 dma=1 interp=1 | render ms 4.71/5.29/6.02 | fps 59.7 | spans 1111 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2649 cy/pump 37.99 Mcy/s 1583 cy/sample | pump worst 210.41 us peak 215.01 us | AHASH s=240000 25d03fb3 | last_us prep=10 world=5886 lights=1911 board=0 other=2 shot=2 world_id=1 lights_n=6
T t=11.0 bar=7 sec=0 dma=1 interp=1 | render ms 5.57/5.81/6.12 | fps 59.7 | spans 1099 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2592 cy/pump 37.18 Mcy/s 1549 cy/sample | pump worst 211.83 us peak 215.01 us | AHASH s=264000 4de0a9c1 | last_us prep=9 world=5696 lights=1719 board=0 other=3 shot=2 world_id=1 lights_n=6
