step,voice,note,length,velocity
0,2,62,10,48
0,3,65,10,48
0,4,69,10,48
0,5,69,3,92
4,5,74,5,92
16,5,72,3,92
20,5,69,7,92
32,2,62,10,48
32,3,65,10,48
32,4,70,10,48
32,5,65,3,92
36,5,70,5,92
48,5,69,3,92
52,5,65,7,92
64,2,60,10,48
64,3,65,10,48
64,4,69,10,48
64,5,69,3,92
68,5,72,5,92
74,5,77,3,92
78,5,72,2,92
80,5,69,3,92
84,5,67,3,92
88,5,65,6,92
96,2,60,10,48
96,3,64,10,48
96,4,67,10,48
96,5,67,3,92
100,5,72,5,92
106,5,76,2,92
108,5,74,2,92
110,5,72,2,92
112,5,67,3,92
116,5,64,5,92
124,5,69,3,92
128,0,38,4,112
128,1,69,3,104
128,2,62,10,48
128,3,65,10,48
128,4,69,10,48
132,1,74,5,104
134,0,38,2,92
138,0,38,2,92
138,1,77,2,104
140,1,76,2,104
142,0,38,2,92
142,1,74,2,104
144,0,38,4,112
144,1,72,3,104
148,1,69,7,104
150,0,38,2,92
154,0,38,2,92
158,0,50,2,92
158,1,65,2,104
160,0,34,4,112
160,1,65,3,104
160,2,62,10,48
160,3,65,10,48
160,4,70,10,48
164,1,70,5,104
166,0,34,2,92
170,0,34,2,92
170,1,74,2,104
172,1,72,2,104
174,0,34,2,92
174,1,70,2,104
176,0,34,4,112
176,1,69,3,104
180,1,65,7,104
182,0,34,2,92
186,0,34,2,92
190,0,46,2,92
192,0,41,4,112
192,1,69,3,104
192,2,60,10,48
192,3,65,10,48
192,4,69,10,48
196,1,72,5,104
198,0,41,2,92
202,0,41,2,92
202,1,77,3,104
206,0,41,2,92
206,1,72,2,104
208,0,41,4,112
208,1,69,3,104
212,1,67,3,104
214,0,41,2,92
216,1,65,6,104
218,0,41,2,92
222,0,53,2,92
224,0,36,4,112
224,1,67,3,104
224,2,60,10,48
224,3,64,10,48
224,4,67,10,48
228,1,72,5,104
230,0,36,2,92
234,0,36,2,92
234,1,76,2,104
236,1,74,2,104
238,0,36,2,92
238,1,72,2,104
240,0,36,4,112
240,1,67,3,104
244,1,64,5,104
246,0,36,2,92
250,0,36,2,92
252,1,69,3,104
254,0,48,2,92
256,0,38,4,112
256,1,69,3,104
256,2,62,10,64
256,3,65,10,64
256,4,69,10,64
260,1,74,5,104
262,0,38,2,92
266,0,38,2,92
266,1,77,2,104
266,2,62,4,64
266,3,65,4,64
266,4,69,4,64
268,1,76,2,104
270,0,38,2,92
270,1,74,2,104
272,0,38,4,112
272,1,72,3,104
276,1,69,7,104
278,0,38,2,92
282,0,38,2,92
282,2,62,4,64
282,3,65,4,64
282,4,69,4,64
286,0,50,2,92
286,1,65,2,104
288,0,34,4,112
288,1,65,3,104
288,2,62,10,64
288,3,65,10,64
288,4,70,10,64
292,1,70,5,104
294,0,34,2,92
298,0,34,2,92
298,1,74,2,104
298,2,62,4,64
298,3,65,4,64
298,4,70,4,64
300,1,72,2,104
302,0,34,2,92
302,1,70,2,104
304,0,34,4,112
304,1,69,3,104
308,1,65,7,104
310,0,34,2,92
314,0,34,2,92
314,2,62,4,64
314,3,65,4,64
314,4,70,4,64
318,0,46,2,92
320,0,41,4,112
320,1,69,3,104
320,2,60,10,64
320,3,65,10,64
320,4,69,10,64
324,1,72,5,104
326,0,41,2,92
330,0,41,2,92
330,1,77,3,104
330,2,60,4,64
330,3,65,4,64
330,4,69,4,64
334,0,41,2,92
334,1,72,2,104
336,0,41,4,112
336,1,69,3,104
340,1,67,3,104
342,0,41,2,92
344,1,65,6,104
346,0,41,2,92
346,2,60,4,64
346,3,65,4,64
346,4,69,4,64
350,0,53,2,92
352,0,36,4,112
352,1,67,3,104
352,2,60,10,64
352,3,64,10,64
352,4,67,10,64
356,1,72,5,104
358,0,36,2,92
362,0,36,2,92
362,1,76,2,104
362,2,60,4,64
362,3,64,4,64
362,4,67,4,64
364,1,74,2,104
366,0,36,2,92
366,1,72,2,104
368,0,36,4,112
368,1,67,3,104
372,1,64,5,104
374,0,36,2,92
378,0,36,2,92
378,2,60,4,64
378,3,64,4,64
378,4,67,4,64
380,1,69,3,104
382,0,48,2,92
384,0,38,4,112
384,1,69,3,104
384,2,62,10,64
